"B25050_001E","B25050_001M","B25050_002E","B25050_002M","B25050_003E","B25050_003M","B25050_004E","B25050_004M","B25050_005E","B25050_005M","B25050_006E","B25050_006M","B25050_007E","B25050_007M","B25050_008E","B25050_008M","B25050_009E","B25050_009M","B25050_010E","B25050_010M","B25050_011E","B25050_011M","B25050_012E","B25050_012M","B25050_013E","B25050_013M","B25050_014E","B25050_014M","B25050_015E","B25050_015M","B25050_016E","B25050_016M","B25050_017E","B25050_017M","B25050_018E","B25050_018M","B25050_019E","B25050_019M","GEO_ID","NAME"
"1757","88","1713","101","1677","102","1178","123","41","19","458","82","36","29","19","26","0","11","17","15","44","42","38","41","19","27","0","11","19","30","6","9","0","11","0","11","6","9","1400000US33005970800","Census Tract 9708, Cheshire County, New Hampshire"
"3089","233","3045","228","3032","229","2502","256","52","47","478","144","13","21","13","21","0","16","0","16","44","51","44","51","44","51","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33005970900","Census Tract 9709, Cheshire County, New Hampshire"
"2322","176","2288","185","2288","185","1880","180","102","57","306","160","0","16","0","16","0","16","0","16","34","51","34","51","34","51","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33005971000","Census Tract 9710, Cheshire County, New Hampshire"
"2300","160","2300","160","2279","163","1052","210","179","95","1048","239","21","27","15","24","0","16","6","13","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33005971100","Census Tract 9711, Cheshire County, New Hampshire"
"1541","117","1541","117","1537","117","457","98","39","30","1041","143","4","8","4","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33005971300","Census Tract 9713, Cheshire County, New Hampshire"
"1298","125","1271","133","1266","133","731","149","116","70","419","115","5","11","5","11","0","16","0","16","27","37","27","37","0","16","27","37","0","16","0","16","0","16","0","16","0","16","1400000US33005971401","Census Tract 9714.01, Cheshire County, New Hampshire"
"1731","107","1731","107","1714","110","1503","114","56","40","155","55","17","25","0","11","0","11","17","25","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33005971402","Census Tract 9714.02, Cheshire County, New Hampshire"
"2024","193","2007","193","1956","212","1511","193","130","66","315","70","51","42","36","35","0","16","15","25","17","25","17","25","17","25","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33005971500","Census Tract 9715, Cheshire County, New Hampshire"
"1643","126","1643","126","1594","159","1111","136","119","63","364","160","49","51","24","36","0","11","25","38","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33005971600","Census Tract 9716, Cheshire County, New Hampshire"
"1659","185","1659","185","1583","232","1111","213","23","24","449","121","76","67","68","68","0","11","8","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33005971700","Census Tract 9717, Cheshire County, New Hampshire"
"982","73","953","76","953","76","724","75","41","24","188","53","0","11","0","11","0","11","0","11","29","22","24","20","12","10","0","11","12","17","5","8","5","8","0","11","0","11","1400000US33007950100","Census Tract 9501, Coos County, New Hampshire"
"1270","87","1270","87","1264","87","930","98","44","27","290","62","6","7","6","7","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007950200","Census Tract 9502, Coos County, New Hampshire"
"850","61","846","60","842","61","646","60","21","13","175","44","4","4","4","4","0","11","0","11","4","5","4","5","0","11","0","11","4","5","0","11","0","11","0","11","0","11","1400000US33007950300","Census Tract 9503, Coos County, New Hampshire"
"1494","76","1490","76","1445","82","913","85","88","43","444","80","45","28","34","27","0","11","11","10","4","5","4","5","2","4","0","11","2","3","0","11","0","11","0","11","0","11","1400000US33007950400","Census Tract 9504, Coos County, New Hampshire"
"1366","149","1366","149","1352","152","682","144","65","38","605","109","14","18","0","11","0","11","14","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007950500","Census Tract 9505, Coos County, New Hampshire"
"1447","147","1447","147","1414","162","602","120","151","68","661","130","33","48","33","48","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007950600","Census Tract 9506, Coos County, New Hampshire"
"1325","105","1325","105","1247","102","791","91","127","59","329","78","78","44","0","11","0","11","78","44","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007950700","Census Tract 9507, Coos County, New Hampshire"
"1205","118","1205","118","1205","118","370","109","30","26","805","152","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007950800","Census Tract 9508, Coos County, New Hampshire"
"1443","106","1442","105","1434","113","944","109","79","41","411","90","8","12","0","11","0","11","8","12","1","3","1","3","1","3","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007950900","Census Tract 9509, Coos County, New Hampshire"
"916","79","900","77","888","79","679","79","50","22","159","39","12","14","12","14","0","11","0","11","16","17","16","17","16","17","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007951000","Census Tract 9510, Coos County, New Hampshire"
"1470","117","1460","118","1447","119","952","101","85","46","410","85","13","15","13","15","0","11","0","11","10","10","10","10","10","10","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007951100","Census Tract 9511, Coos County, New Hampshire"
"2891","224","2891","224","2873","226","1626","230","79","57","1168","227","18","29","0","16","0","16","18","29","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33009960100","Census Tract 9601, Grafton County, New Hampshire"
"1801","130","1782","123","1771","124","1114","108","98","45","559","98","11","11","5","7","0","11","6","8","19","17","19","17","9","10","0","11","10","13","0","11","0","11","0","11","0","11","1400000US33009960200","Census Tract 9602, Grafton County, New Hampshire"
"2012","117","2007","117","1977","118","1375","109","69","24","533","64","30","18","13","8","0","16","17","16","5","5","2","3","2","3","0","16","0","16","3","4","3","4","0","16","0","16","1400000US33009960300","Census Tract 9603, Grafton County, New Hampshire"
"1506","126","1483","121","1471","122","1264","119","48","37","159","52","12","12","6","8","0","11","6","9","23","30","23","30","23","30","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33009960400","Census Tract 9604, Grafton County, New Hampshire"
"971","94","961","94","952","92","649","70","40","26","263","58","9","7","7","6","0","11","2","3","10","16","10","16","10","16","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33009960500","Census Tract 9605, Grafton County, New Hampshire"
"1754","148","1754","148","1749","150","1260","168","67","42","422","127","5","10","0","11","0","11","5","10","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33009960600","Census Tract 9606, Grafton County, New Hampshire"
"1174","68","1165","68","1125","68","785","63","17","11","323","53","40","23","21","13","0","11","19","22","9","8","9","8","5","6","0","11","4","5","0","11","0","11","0","11","0","11","1400000US33009960700","Census Tract 9607, Grafton County, New Hampshire"
"1976","228","1956","231","1934","229","1433","219","48","30","453","110","22","28","22","28","0","11","0","11","20","21","13","20","13","20","0","11","0","11","7","9","7","9","0","11","0","11","1400000US33009960800","Census Tract 9608, Grafton County, New Hampshire"
"1291","74","1279","73","1264","73","949","72","32","16","283","50","15","14","6","6","0","11","9","12","12","7","12","7","12","7","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33009960900","Census Tract 9609, Grafton County, New Hampshire"
"2147","233","2073","259","2073","259","1517","286","89","88","467","207","0","16","0","16","0","16","0","16","74","102","74","102","74","102","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33009961000","Census Tract 9610, Grafton County, New Hampshire"
"1638","133","1638","133","1576","130","1123","123","44","24","409","95","62","44","62","44","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33009961100","Census Tract 9611, Grafton County, New Hampshire"
"1765","155","1763","155","1746","153","1269","148","26","20","451","99","17","20","17","20","0","11","0","11","2","4","2","4","2","4","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33009961200","Census Tract 9612, Grafton County, New Hampshire"
"1365","77","1319","78","1287","81","1025","69","10","8","252","51","32","25","23","22","0","11","9","11","46","21","40","20","38","20","0","11","2","5","6","6","3","4","0","11","3","4","1400000US33009961300","Census Tract 9613, Grafton County, New Hampshire"
"1487","174","1471","174","1466","173","1092","177","30","41","344","145","5","7","5","7","0","11","0","11","16","19","16","19","16","19","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33009961400","Census Tract 9614, Grafton County, New Hampshire"
"2027","197","2027","197","1992","221","1372","220","45","43","575","163","35","49","0","11","0","11","35","49","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33009961500","Census Tract 9615, Grafton County, New Hampshire"
"980","122","980","122","971","121","814","123","18","22","139","60","9","14","9","14","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33009961601","Census Tract 9616.01, Grafton County, New Hampshire"
"1859","201","1859","201","1842","200","1375","192","110","105","357","110","17","26","0","16","0","16","17","26","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33009961602","Census Tract 9616.02, Grafton County, New Hampshire"
"3599","245","3599","245","3584","251","2689","284","71","44","824","202","15","23","15","23","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33009961700","Census Tract 9617, Grafton County, New Hampshire"
"2484","164","2484","164","2459","165","1445","216","108","68","906","196","25","39","0","16","0","16","25","39","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33009961800","Census Tract 9618, Grafton County, New Hampshire"
"1252","69","1252","69","1239","69","599","100","74","54","566","99","13","20","13","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011000101","Census Tract 1.01, Hillsborough County, New Hampshire"
"1850","106","1842","107","1775","114","1626","117","68","39","81","41","67","62","67","62","0","16","0","16","8","14","8","14","8","14","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011000102","Census Tract 1.02, Hillsborough County, New Hampshire"
"921","54","914","54","903","57","514","84","190","60","199","60","11","17","0","11","0","11","11","17","7","10","7","10","7","10","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011000202","Census Tract 2.02, Hillsborough County, New Hampshire"
"1846","112","1835","109","1815","110","1752","128","0","11","63","58","20","21","20","21","0","11","0","11","11","18","11","18","0","11","0","11","11","18","0","11","0","11","0","11","0","11","1400000US33011000203","Census Tract 2.03, Hillsborough County, New Hampshire"
"2453","150","2401","170","2315","192","2206","204","17","27","92","59","86","63","86","63","0","16","0","16","52","69","52","69","52","69","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011000204","Census Tract 2.04, Hillsborough County, New Hampshire"
"1305","99","1305","99","1274","107","358","91","85","48","831","131","31","38","31","38","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011000300","Census Tract 3, Hillsborough County, New Hampshire"
"1077","95","1069","98","1037","103","450","115","105","65","482","117","32","43","5","13","0","11","27","42","8","12","8","12","8","12","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011000600","Census Tract 6, Hillsborough County, New Hampshire"
"1250","69","1250","69","1250","69","590","107","109","49","551","110","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011000700","Census Tract 7, Hillsborough County, New Hampshire"
"903","67","903","67","897","67","107","41","32","23","758","74","6","8","0","11","0","11","6","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011000800","Census Tract 8, Hillsborough County, New Hampshire"
"1490","62","1490","62","1490","62","1285","120","20","25","185","108","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011000901","Census Tract 9.01, Hillsborough County, New Hampshire"
"2326","108","2326","108","2211","144","2111","166","18","29","82","81","115","109","115","109","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011000902","Census Tract 9.02, Hillsborough County, New Hampshire"
"2502","95","2502","95","2482","99","2247","132","72","50","163","86","20","24","20","24","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011001000","Census Tract 10, Hillsborough County, New Hampshire"
"2020","157","2020","157","1988","172","1405","216","287","126","296","128","32","40","32","40","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011001100","Census Tract 11, Hillsborough County, New Hampshire"
"727","66","727","66","704","78","261","56","43","24","400","71","23","30","0","11","0","11","23","30","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011001200","Census Tract 12, Hillsborough County, New Hampshire"
"1368","100","1349","99","1260","114","352","92","140","67","768","116","89","54","14","18","0","11","75","57","19","30","19","30","19","30","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011001300","Census Tract 13, Hillsborough County, New Hampshire"
"963","66","963","66","890","72","385","93","145","78","360","94","73","39","34","27","6","10","33","30","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011001400","Census Tract 14, Hillsborough County, New Hampshire"
"990","70","978","70","879","90","197","67","136","46","546","94","99","51","0","11","0","11","99","51","12","19","12","19","0","11","0","11","12","19","0","11","0","11","0","11","0","11","1400000US33011001500","Census Tract 15, Hillsborough County, New Hampshire"
"1462","122","1462","122","1270","146","362","109","63","50","845","144","192","96","25","29","0","11","167","91","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011001600","Census Tract 16, Hillsborough County, New Hampshire"
"971","84","971","84","963","87","343","96","79","52","541","116","8","15","8","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011001700","Census Tract 17, Hillsborough County, New Hampshire"
"2332","129","2332","129","2278","138","1141","219","302","176","835","194","54","46","14","25","10","17","30","34","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011001800","Census Tract 18, Hillsborough County, New Hampshire"
"1240","95","1240","95","1189","114","589","126","29","41","571","138","51","68","4","16","0","11","47","62","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011001900","Census Tract 19, Hillsborough County, New Hampshire"
"859","87","859","87","770","83","442","92","0","11","328","85","89","53","48","44","0","11","41","29","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011002000","Census Tract 20, Hillsborough County, New Hampshire"
"2060","113","2035","118","2004","126","623","140","122","55","1259","146","31","30","6","10","0","16","25","28","25","40","25","40","0","16","0","16","25","40","0","16","0","16","0","16","0","16","1400000US33011002100","Census Tract 21, Hillsborough County, New Hampshire"
"1409","94","1382","102","1343","122","670","152","152","72","521","128","39","61","39","61","0","11","0","11","27","43","27","43","27","43","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011002200","Census Tract 22, Hillsborough County, New Hampshire"
"1563","125","1563","125","1477","140","1035","149","92","58","350","97","86","69","53","47","0","11","33","48","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011002300","Census Tract 23, Hillsborough County, New Hampshire"
"2984","125","2899","156","2805","167","2237","205","170","125","398","142","94","63","33","44","0","16","61","39","85","93","85","93","43","65","0","16","42","65","0","16","0","16","0","16","0","16","1400000US33011002400","Census Tract 24, Hillsborough County, New Hampshire"
"2120","155","2059","175","2059","175","1539","212","276","139","244","119","0","11","0","11","0","11","0","11","61","97","61","97","61","97","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011002500","Census Tract 25, Hillsborough County, New Hampshire"
"2156","84","2156","84","2127","96","1936","110","63","50","128","75","29","35","29","35","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011002600","Census Tract 26, Hillsborough County, New Hampshire"
"1373","103","1373","103","1360","103","977","114","41","33","342","79","13","19","13","19","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011002701","Census Tract 27.01, Hillsborough County, New Hampshire"
"2376","109","2352","115","2340","116","1797","188","131","76","412","159","12","19","12","19","0","16","0","16","24","38","24","38","24","38","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011002702","Census Tract 27.02, Hillsborough County, New Hampshire"
"2366","115","2366","115","2309","152","1883","166","178","90","248","100","57","59","39","53","0","16","18","28","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011002800","Census Tract 28, Hillsborough County, New Hampshire"
"2890","147","2869","145","2843","146","2646","166","44","41","153","105","26","29","26","29","0","16","0","16","21","32","21","32","21","32","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011002901","Census Tract 29.01, Hillsborough County, New Hampshire"
