"B25050_001E","B25050_001M","B25050_002E","B25050_002M","B25050_003E","B25050_003M","B25050_004E","B25050_004M","B25050_005E","B25050_005M","B25050_006E","B25050_006M","B25050_007E","B25050_007M","B25050_008E","B25050_008M","B25050_009E","B25050_009M","B25050_010E","B25050_010M","B25050_011E","B25050_011M","B25050_012E","B25050_012M","B25050_013E","B25050_013M","B25050_014E","B25050_014M","B25050_015E","B25050_015M","B25050_016E","B25050_016M","B25050_017E","B25050_017M","B25050_018E","B25050_018M","B25050_019E","B25050_019M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Complete plumbing facilities:","Margin of Error!!Total:!!Complete plumbing facilities:","Estimate!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:","Margin of Error!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:","Estimate!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Margin of Error!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Estimate!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Margin of Error!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Estimate!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Margin of Error!!Total:!!Complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Estimate!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:","Margin of Error!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:","Estimate!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Margin of Error!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Estimate!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Margin of Error!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Estimate!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier","Margin of Error!!Total:!!Complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier","Estimate!!Total:!!Lacking complete plumbing facilities:","Margin of Error!!Total:!!Lacking complete plumbing facilities:","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1950 or later","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1940 to 1949","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.00 or less occupants per room:!!Built 1939 or earlier","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1950 or later","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1940 to 1949","Estimate!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier","Margin of Error!!Total:!!Lacking complete plumbing facilities:!!1.01 or more occupants per room:!!Built 1939 or earlier","id","Geographic Area Name"
"1332","90","1300","96","1295","95","989","116","20","14","286","67","5","9","5","9","0","11","0","11","32","35","32","35","32","35","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"1491","128","1467","126","1433","125","1262","134","31","26","140","67","34","51","0","11","0","11","34","51","24","26","24","26","10","15","0","11","14","22","0","11","0","11","0","11","0","11","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"1370","134","1370","134","1370","134","1039","164","54","56","277","110","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"1119","93","1112","92","1106","91","872","95","66","62","168","74","6","10","6","10","0","11","0","11","7","10","7","10","7","10","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"1434","109","1434","109","1434","109","954","124","62","34","418","117","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"1515","120","1515","120","1498","127","1185","172","31","27","282","102","17","21","17","21","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"1753","153","1753","153","1753","153","1424","164","0","11","329","100","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"2998","229","2981","229","2870","232","2346","265","99","62","425","125","111","96","76","83","0","16","35","53","17","28","17","28","17","28","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"1747","116","1747","116","1747","116","986","134","78","57","683","158","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"1969","180","1969","180","1969","180","1173","234","80","55","716","175","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"1937","148","1901","148","1857","141","1169","168","156","91","532","132","44","51","12","19","0","11","32","43","36","54","36","54","36","54","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"1280","120","1269","120","1269","120","758","120","79","46","432","119","0","11","0","11","0","11","0","11","11","17","11","17","11","17","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"659","82","659","82","659","82","522","75","57","32","80","36","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"2373","141","2319","172","2319","172","2205","178","0","16","114","52","0","16","0","16","0","16","0","16","54","81","54","81","54","81","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"2075","179","2075","179","2075","179","1890","218","84","98","101","73","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"1995","194","1995","194","1962","202","1466","206","37","34","459","141","33","36","33","36","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"2858","250","2856","250","2839","251","2188","278","31","34","620","224","17","32","17","32","0","16","0","16","2","4","2","4","2","4","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"1917","181","1917","181","1875","181","1341","170","91","63","443","134","42","38","42","38","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"1112","102","1092","95","1077","100","911","101","24","18","142","63","15","19","2","3","0","11","13","19","20","23","20","23","6","9","0","11","14","22","0","11","0","11","0","11","0","11","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"2250","173","2201","180","2198","181","1534","209","25","15","639","151","3","5","3","5","0","16","0","16","49","63","49","63","2","5","0","16","47","63","0","16","0","16","0","16","0","16","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"1205","105","1198","105","1181","106","958","104","12","9","211","59","17","18","17","18","0","11","0","11","7","7","7","7","3","4","0","11","4","6","0","11","0","11","0","11","0","11","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"2011","164","1957","164","1929","169","1380","223","81","63","468","164","28","28","9","14","0","11","19","26","54","50","45","54","45","54","0","11","0","11","9","14","0","11","0","11","9","14","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"2420","212","2420","212","2394","216","1951","205","5","7","438","162","26","33","26","33","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"3000","206","2977","205","2888","213","2377","219","86","83","425","194","89","79","89","79","0","16","0","16","23","37","23","37","23","37","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"1765","118","1746","112","1739","114","1504","123","23","25","212","79","7","11","7","11","0","11","0","11","19","32","19","32","19","32","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"923","104","914","104","900","107","739","96","26","21","135","63","14","17","14","17","0","11","0","11","9","10","9","10","4","6","5","8","0","11","0","11","0","11","0","11","0","11","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"1720","72","1688","69","1660","68","1270","70","32","11","358","59","28","17","22","16","0","11","6","8","32","24","31","24","28","23","3","4","0","11","1","3","1","3","0","11","0","11","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
"1677","112","1632","113","1618","116","862","118","76","52","680","136","14","20","14","20","0","11","0","11","45","52","45","52","9","14","0","11","36","49","0","11","0","11","0","11","0","11","1400000US33005970200","Census Tract 9702, Cheshire County, New Hampshire"
"2082","98","2067","98","2041","101","1557","96","58","24","426","59","26","14","26","14","0","16","0","16","15","14","15","14","12","13","0","16","3","5","0","16","0","16","0","16","0","16","1400000US33005970400","Census Tract 9704, Cheshire County, New Hampshire"
"2107","219","2107","219","2073","245","1354","239","171","104","548","161","34","41","34","41","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33005970500","Census Tract 9705, Cheshire County, New Hampshire"
"1762","171","1762","171","1753","174","1478","180","33","34","242","96","9","14","9","14","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33005970600","Census Tract 9706, Cheshire County, New Hampshire"
"1429","79","1426","80","1403","82","985","102","60","41","358","75","23","18","23","18","0","11","0","11","3","5","0","11","0","11","0","11","0","11","3","5","3","5","0","11","0","11","1400000US33005970700","Census Tract 9707, Cheshire County, New Hampshire"
