"B19057_001E","B19057_001M","B19057_002E","B19057_002M","B19057_003E","B19057_003M","GEO_ID","NAME"
"1765","155","60","35","1705","150","1400000US33009961200","Census Tract 9612, Grafton County, New Hampshire"
"1365","77","36","17","1329","80","1400000US33009961300","Census Tract 9613, Grafton County, New Hampshire"
"1487","174","15","20","1472","177","1400000US33009961400","Census Tract 9614, Grafton County, New Hampshire"
"2027","197","0","11","2027","197","1400000US33009961500","Census Tract 9615, Grafton County, New Hampshire"
"980","122","23","29","957","121","1400000US33009961601","Census Tract 9616.01, Grafton County, New Hampshire"
"1859","201","31","46","1828","202","1400000US33009961602","Census Tract 9616.02, Grafton County, New Hampshire"
"3599","245","121","107","3478","257","1400000US33009961700","Census Tract 9617, Grafton County, New Hampshire"
"2484","164","41","45","2443","171","1400000US33009961800","Census Tract 9618, Grafton County, New Hampshire"
"1252","69","23","27","1229","71","1400000US33011000101","Census Tract 1.01, Hillsborough County, New Hampshire"
"1850","106","11","17","1839","110","1400000US33011000102","Census Tract 1.02, Hillsborough County, New Hampshire"
"921","54","53","38","868","60","1400000US33011000202","Census Tract 2.02, Hillsborough County, New Hampshire"
"1846","112","0","11","1846","112","1400000US33011000203","Census Tract 2.03, Hillsborough County, New Hampshire"
"2453","150","58","55","2395","154","1400000US33011000204","Census Tract 2.04, Hillsborough County, New Hampshire"
"1305","99","72","42","1233","105","1400000US33011000300","Census Tract 3, Hillsborough County, New Hampshire"
"1077","95","64","51","1013","100","1400000US33011000600","Census Tract 6, Hillsborough County, New Hampshire"
"1250","69","7","12","1243","69","1400000US33011000700","Census Tract 7, Hillsborough County, New Hampshire"
"903","67","59","36","844","78","1400000US33011000800","Census Tract 8, Hillsborough County, New Hampshire"
"1490","62","27","19","1463","65","1400000US33011000901","Census Tract 9.01, Hillsborough County, New Hampshire"
"2326","108","31","33","2295","106","1400000US33011000902","Census Tract 9.02, Hillsborough County, New Hampshire"
"2502","95","78","59","2424","117","1400000US33011001000","Census Tract 10, Hillsborough County, New Hampshire"
"2020","157","63","50","1957","173","1400000US33011001100","Census Tract 11, Hillsborough County, New Hampshire"
"727","66","22","23","705","71","1400000US33011001200","Census Tract 12, Hillsborough County, New Hampshire"
"1368","100","130","76","1238","122","1400000US33011001300","Census Tract 13, Hillsborough County, New Hampshire"
"963","66","74","48","889","83","1400000US33011001400","Census Tract 14, Hillsborough County, New Hampshire"
"990","70","85","41","905","82","1400000US33011001500","Census Tract 15, Hillsborough County, New Hampshire"
"1462","122","70","50","1392","128","1400000US33011001600","Census Tract 16, Hillsborough County, New Hampshire"
"971","84","5","9","966","83","1400000US33011001700","Census Tract 17, Hillsborough County, New Hampshire"
"2332","129","127","90","2205","151","1400000US33011001800","Census Tract 18, Hillsborough County, New Hampshire"
"1240","95","135","79","1105","102","1400000US33011001900","Census Tract 19, Hillsborough County, New Hampshire"
"859","87","56","31","803","93","1400000US33011002000","Census Tract 20, Hillsborough County, New Hampshire"
"2060","113","77","58","1983","123","1400000US33011002100","Census Tract 21, Hillsborough County, New Hampshire"
"1409","94","58","50","1351","96","1400000US33011002200","Census Tract 22, Hillsborough County, New Hampshire"
"1563","125","70","52","1493","144","1400000US33011002300","Census Tract 23, Hillsborough County, New Hampshire"
"2984","125","134","83","2850","136","1400000US33011002400","Census Tract 24, Hillsborough County, New Hampshire"
"2120","155","33","36","2087","155","1400000US33011002500","Census Tract 25, Hillsborough County, New Hampshire"
"2156","84","55","46","2101","87","1400000US33011002600","Census Tract 26, Hillsborough County, New Hampshire"
"1373","103","20","22","1353","104","1400000US33011002701","Census Tract 27.01, Hillsborough County, New Hampshire"
"2376","109","20","32","2356","113","1400000US33011002702","Census Tract 27.02, Hillsborough County, New Hampshire"
"2366","115","65","76","2301","135","1400000US33011002800","Census Tract 28, Hillsborough County, New Hampshire"
"2890","147","58","73","2832","168","1400000US33011002901","Census Tract 29.01, Hillsborough County, New Hampshire"
"2331","136","0","16","2331","136","1400000US33011002902","Census Tract 29.02, Hillsborough County, New Hampshire"
"2592","90","29","32","2563","93","1400000US33011002903","Census Tract 29.03, Hillsborough County, New Hampshire"
"2064","81","37","37","2027","86","1400000US33011010100","Census Tract 101, Hillsborough County, New Hampshire"
"3227","96","30","35","3197","100","1400000US33011010200","Census Tract 102, Hillsborough County, New Hampshire"
"1940","51","32","28","1908","53","1400000US33011010301","Census Tract 103.01, Hillsborough County, New Hampshire"
"1810","90","24","21","1786","98","1400000US33011010302","Census Tract 103.02, Hillsborough County, New Hampshire"
"2056","86","35","42","2021","93","1400000US33011010400","Census Tract 104, Hillsborough County, New Hampshire"
"1764","137","137","79","1627","154","1400000US33011010500","Census Tract 105, Hillsborough County, New Hampshire"
"2501","150","157","90","2344","151","1400000US33011010600","Census Tract 106, Hillsborough County, New Hampshire"
"878","59","96","46","782","70","1400000US33011010700","Census Tract 107, Hillsborough County, New Hampshire"
"2997","160","115","71","2882","159","1400000US33011010800","Census Tract 108, Hillsborough County, New Hampshire"
"2287","124","71","47","2216","132","1400000US33011010900","Census Tract 109, Hillsborough County, New Hampshire"
"1772","65","54","65","1718","91","1400000US33011011000","Census Tract 110, Hillsborough County, New Hampshire"
"1770","89","42","60","1728","108","1400000US33011011101","Census Tract 111.01, Hillsborough County, New Hampshire"
"1817","97","9","14","1808","98","1400000US33011011102","Census Tract 111.02, Hillsborough County, New Hampshire"
"2985","121","0","16","2985","121","1400000US33011011200","Census Tract 112, Hillsborough County, New Hampshire"
"1482","56","53","53","1429","80","1400000US33011011300","Census Tract 113, Hillsborough County, New Hampshire"
"2199","87","0","16","2199","87","1400000US33011011401","Census Tract 114.01, Hillsborough County, New Hampshire"
"1909","62","21","23","1888","65","1400000US33011011402","Census Tract 114.02, Hillsborough County, New Hampshire"
"1076","45","0","11","1076","45","1400000US33011011500","Census Tract 115, Hillsborough County, New Hampshire"
"3101","130","0","16","3101","130","1400000US33011012100","Census Tract 121, Hillsborough County, New Hampshire"
"3008","148","121","98","2887","174","1400000US33011012200","Census Tract 122, Hillsborough County, New Hampshire"
"3105","143","47","49","3058","154","1400000US33011012300","Census Tract 123, Hillsborough County, New Hampshire"
"3060","117","32","27","3028","117","1400000US33011013100","Census Tract 131, Hillsborough County, New Hampshire"
"2820","97","17","29","2803","104","1400000US33011014100","Census Tract 141, Hillsborough County, New Hampshire"
"2075","62","0","16","2075","62","1400000US33011014201","Census Tract 142.01, Hillsborough County, New Hampshire"
"2276","90","0","16","2276","90","1400000US33011014202","Census Tract 142.02, Hillsborough County, New Hampshire"
"2822","69","0","16","2822","69","1400000US33011014300","Census Tract 143, Hillsborough County, New Hampshire"
"1925","92","19","22","1906","92","1400000US33011015100","Census Tract 151, Hillsborough County, New Hampshire"
"2204","105","46","50","2158","112","1400000US33011015200","Census Tract 152, Hillsborough County, New Hampshire"
"1301","79","11","18","1290","80","1400000US33011016100","Census Tract 161, Hillsborough County, New Hampshire"
"3115","184","28","34","3087","184","1400000US33011016201","Census Tract 162.01, Hillsborough County, New Hampshire"
"1900","95","11","17","1889","99","1400000US33011016202","Census Tract 162.02, Hillsborough County, New Hampshire"
"2968","131","0","16","2968","131","1400000US33011017100","Census Tract 171, Hillsborough County, New Hampshire"
"1736","70","40","31","1696","77","1400000US33011018000","Census Tract 180, Hillsborough County, New Hampshire"
"872","77","13","13","859","80","1400000US33011018501","Census Tract 185.01, Hillsborough County, New Hampshire"
"599","38","7","7","592","38","1400000US33011018502","Census Tract 185.02, Hillsborough County, New Hampshire"
"1586","112","0","11","1586","112","1400000US33011019000","Census Tract 190, Hillsborough County, New Hampshire"
"687","55","1","2","686","55","1400000US33011019501","Census Tract 195.01, Hillsborough County, New Hampshire"
"909","55","14","14","895","55","1400000US33011019502","Census Tract 195.02, Hillsborough County, New Hampshire"
"1964","120","10","15","1954","120","1400000US33011020000","Census Tract 200, Hillsborough County, New Hampshire"
"3129","158","82","65","3047","161","1400000US33011021000","Census Tract 210, Hillsborough County, New Hampshire"
"2020","97","54","24","1966","99","1400000US33011021500","Census Tract 215, Hillsborough County, New Hampshire"
"696","51","7","6","689","51","1400000US33011022000","Census Tract 220, Hillsborough County, New Hampshire"
"2533","144","25","27","2508","143","1400000US33011022500","Census Tract 225, Hillsborough County, New Hampshire"
"3019","244","17","27","3002","241","1400000US33011023000","Census Tract 230, Hillsborough County, New Hampshire"
"781","55","7","7","774","55","1400000US33011024000","Census Tract 240, Hillsborough County, New Hampshire"
"993","87","31","32","962","98","1400000US33011025000","Census Tract 250, Hillsborough County, New Hampshire"
"2400","201","108","84","2292","191","1400000US33011025500","Census Tract 255, Hillsborough County, New Hampshire"
"1707","96","22","25","1685","93","1400000US33011200100","Census Tract 2001, Hillsborough County, New Hampshire"
"1577","118","35","34","1542","121","1400000US33011200200","Census Tract 2002, Hillsborough County, New Hampshire"
"1548","106","53","51","1495","120","1400000US33011200300","Census Tract 2003, Hillsborough County, New Hampshire"
"1789","129","121","109","1668","129","1400000US33011200400","Census Tract 2004, Hillsborough County, New Hampshire"
"0","11","0","11","0","11","1400000US33011980101","Census Tract 9801.01, Hillsborough County, New Hampshire"
"1481","76","40","38","1441","82","1400000US33013003001","Census Tract 30.01, Merrimack County, New Hampshire"
"1311","78","62","52","1249","98","1400000US33013003006","Census Tract 30.06, Merrimack County, New Hampshire"
"1788","107","93","58","1695","123","1400000US33013003100","Census Tract 31, Merrimack County, New Hampshire"
"2690","164","35","41","2655","163","1400000US33013003200","Census Tract 32, Merrimack County, New Hampshire"
"938","45","18","14","920","47","1400000US33013030000","Census Tract 300, Merrimack County, New Hampshire"
"1349","68","7","10","1342","70","1400000US33013031001","Census Tract 310.01, Merrimack County, New Hampshire"
"1366","78","9","14","1357","80","1400000US33013031002","Census Tract 310.02, Merrimack County, New Hampshire"
"1454","75","0","11","1454","75","1400000US33013032100","Census Tract 321, Merrimack County, New Hampshire"
"1262","97","130","72","1132","107","1400000US33013032200","Census Tract 322, Merrimack County, New Hampshire"
"860","75","31","22","829","74","1400000US33013032300","Census Tract 323, Merrimack County, New Hampshire"
"1644","95","59","41","1585","103","1400000US33013032400","Census Tract 324, Merrimack County, New Hampshire"
"1323","101","23","25","1300","106","1400000US33013032500","Census Tract 325, Merrimack County, New Hampshire"
"954","86","19","13","935","86","1400000US33013032600","Census Tract 326, Merrimack County, New Hampshire"
"544","58","35","35","509","66","1400000US33013032701","Census Tract 327.01, Merrimack County, New Hampshire"
"1525","74","83","48","1442","84","1400000US33013032706","Census Tract 327.06, Merrimack County, New Hampshire"
"1980","142","73","69","1907","153","1400000US33013032800","Census Tract 328, Merrimack County, New Hampshire"
"2237","129","204","135","2033","110","1400000US33013032900","Census Tract 329, Merrimack County, New Hampshire"
"969","55","5","7","964","55","1400000US33013033000","Census Tract 330, Merrimack County, New Hampshire"
"1787","124","76","43","1711","119","1400000US33013034000","Census Tract 340, Merrimack County, New Hampshire"
"1675","159","47","48","1628","161","1400000US33013035000","Census Tract 350, Merrimack County, New Hampshire"
"2050","174","139","101","1911","243","1400000US33013036000","Census Tract 360, Merrimack County, New Hampshire"
"970","60","28","29","942","66","1400000US33013037000","Census Tract 370, Merrimack County, New Hampshire"
"1374","112","11","17","1363","115","1400000US33013038000","Census Tract 380, Merrimack County, New Hampshire"
"1904","129","31","21","1873","129","1400000US33013038500","Census Tract 385, Merrimack County, New Hampshire"
"2193","126","21","26","2172","125","1400000US33013039000","Census Tract 390, Merrimack County, New Hampshire"
"1805","127","16","18","1789","126","1400000US33013040000","Census Tract 400, Merrimack County, New Hampshire"
"2326","98","32","25","2294","101","1400000US33013040500","Census Tract 405, Merrimack County, New Hampshire"
"1551","161","23","21","1528","163","1400000US33013041000","Census Tract 410, Merrimack County, New Hampshire"
"1558","82","24","17","1534","86","1400000US33013041500","Census Tract 415, Merrimack County, New Hampshire"
"1608","71","16","13","1592","72","1400000US33013042500","Census Tract 425, Merrimack County, New Hampshire"
"1841","146","84","90","1757","177","1400000US33013043001","Census Tract 430.01, Merrimack County, New Hampshire"
"2068","163","84","75","1984","167","1400000US33013043002","Census Tract 430.02, Merrimack County, New Hampshire"
"1860","118","66","49","1794","129","1400000US33013044000","Census Tract 440, Merrimack County, New Hampshire"
"1722","95","169","85","1553","122","1400000US33013044100","Census Tract 441, Merrimack County, New Hampshire"
"2460","124","113","128","2347","183","1400000US33013044200","Census Tract 442, Merrimack County, New Hampshire"
"2025","89","16","17","2009","90","1400000US33013044300","Census Tract 443, Merrimack County, New Hampshire"
"1557","78","29","27","1528","80","1400000US33015003301","Census Tract 33.01, Rockingham County, New Hampshire"
"1816","110","49","59","1767","118","1400000US33015003302","Census Tract 33.02, Rockingham County, New Hampshire"
"2380","139","116","100","2264","168","1400000US33015003400","Census Tract 34, Rockingham County, New Hampshire"
"2548","187","45","45","2503","182","1400000US33015003500","Census Tract 35, Rockingham County, New Hampshire"
"2435","147","40","39","2395","153","1400000US33015003601","Census Tract 36.01, Rockingham County, New Hampshire"
"2005","92","0","16","2005","92","1400000US33015003602","Census Tract 36.02, Rockingham County, New Hampshire"
"1536","79","51","37","1485","85","1400000US33015003701","Census Tract 37.01, Rockingham County, New Hampshire"
"2137","114","54","69","2083","130","1400000US33015003703","Census Tract 37.03, Rockingham County, New Hampshire"
"1325","50","0","11","1325","50","1400000US33015003801","Census Tract 38.01, Rockingham County, New Hampshire"
"1449","61","11","17","1438","64","1400000US33015003802","Census Tract 38.02, Rockingham County, New Hampshire"
"1712","85","61","52","1651","92","1400000US33015003901","Census Tract 39.01, Rockingham County, New Hampshire"
"1179","49","9","15","1170","51","1400000US33015003902","Census Tract 39.02, Rockingham County, New Hampshire"
"1973","91","32","29","1941","95","1400000US33015004000","Census Tract 40, Rockingham County, New Hampshire"
"1537","80","20","21","1517","84","1400000US33015050000","Census Tract 500, Rockingham County, New Hampshire"
"1687","101","11","18","1676","104","1400000US33015051000","Census Tract 510, Rockingham County, New Hampshire"
"2229","137","60","57","2169","129","1400000US33015052000","Census Tract 520, Rockingham County, New Hampshire"
"1685","93","37","34","1648","95","1400000US33015053000","Census Tract 530, Rockingham County, New Hampshire"
"1764","77","31","27","1733","79","1400000US33015054000","Census Tract 540, Rockingham County, New Hampshire"
"2261","133","46","39","2215","130","1400000US33015055001","Census Tract 550.01, Rockingham County, New Hampshire"
"1851","130","54","37","1797","135","1400000US33015055002","Census Tract 550.02, Rockingham County, New Hampshire"
"1653","86","19","20","1634","85","1400000US33015056000","Census Tract 560, Rockingham County, New Hampshire"
"1611","107","36","30","1575","123","1400000US33015057000","Census Tract 570, Rockingham County, New Hampshire"
"1900","108","21","24","1879","112","1400000US33015058000","Census Tract 580, Rockingham County, New Hampshire"
"2680","155","40","43","2640","172","1400000US33015059000","Census Tract 590, Rockingham County, New Hampshire"
"1533","82","3","8","1530","83","1400000US33015060000","Census Tract 600, Rockingham County, New Hampshire"
"2764","143","51","48","2713","159","1400000US33015061001","Census Tract 610.01, Rockingham County, New Hampshire"
"888","65","10","10","878","63","1400000US33015062000","Census Tract 620, Rockingham County, New Hampshire"
"1147","75","7","7","1140","76","1400000US33015062500","Census Tract 625, Rockingham County, New Hampshire"
"1648","127","64","41","1584","127","1400000US33015063001","Census Tract 630.01, Rockingham County, New Hampshire"
"2176","156","22","33","2154","159","1400000US33015063002","Census Tract 630.02, Rockingham County, New Hampshire"
"909","54","6","9","903","54","1400000US33015064000","Census Tract 640, Rockingham County, New Hampshire"
"3387","147","35","40","3352","151","1400000US33015065001","Census Tract 650.01, Rockingham County, New Hampshire"
"1221","116","0","11","1221","116","1400000US33015065005","Census Tract 650.05, Rockingham County, New Hampshire"
"727","64","14","11","713","62","1400000US33015065006","Census Tract 650.06, Rockingham County, New Hampshire"
"830","82","0","11","830","82","1400000US33015065007","Census Tract 650.07, Rockingham County, New Hampshire"
"923","116","26","29","897","112","1400000US33015065008","Census Tract 650.08, Rockingham County, New Hampshire"
"1820","118","0","11","1820","118","1400000US33015066000","Census Tract 660, Rockingham County, New Hampshire"
"2817","137","0","16","2817","137","1400000US33015067000","Census Tract 670, Rockingham County, New Hampshire"
"2957","144","35","31","2922","147","1400000US33015067501","Census Tract 675.01, Rockingham County, New Hampshire"
"1678","110","0","11","1678","110","1400000US33015067502","Census Tract 675.02, Rockingham County, New Hampshire"
"2174","146","27","31","2147","151","1400000US33015069100","Census Tract 691, Rockingham County, New Hampshire"
"1464","96","8","13","1456","97","1400000US33015069200","Census Tract 692, Rockingham County, New Hampshire"
"1042","82","18","21","1024","83","1400000US33015069300","Census Tract 693, Rockingham County, New Hampshire"
"1395","110","9","13","1386","110","1400000US33015069700","Census Tract 697, Rockingham County, New Hampshire"
"2364","153","16","24","2348","156","1400000US33015071000","Census Tract 710, Rockingham County, New Hampshire"
"2496","133","18","29","2478","137","1400000US33015100100","Census Tract 1001, Rockingham County, New Hampshire"
"2161","103","53","62","2108","130","1400000US33015100200","Census Tract 1002, Rockingham County, New Hampshire"
"1753","103","9","15","1744","102","1400000US33015100301","Census Tract 1003.01, Rockingham County, New Hampshire"
"1862","112","17","21","1845","114","1400000US33015100302","Census Tract 1003.02, Rockingham County, New Hampshire"
"3264","150","34","39","3230","153","1400000US33015100400","Census Tract 1004, Rockingham County, New Hampshire"
"3119","164","0","16","3119","164","1400000US33015101100","Census Tract 1011, Rockingham County, New Hampshire"
"1853","107","22","24","1831","107","1400000US33015102100","Census Tract 1021, Rockingham County, New Hampshire"
"2745","185","14","22","2731","186","1400000US33015103100","Census Tract 1031, Rockingham County, New Hampshire"
"2042","99","50","45","1992","103","1400000US33015104101","Census Tract 1041.01, Rockingham County, New Hampshire"
"1531","86","0","11","1531","86","1400000US33015104102","Census Tract 1041.02, Rockingham County, New Hampshire"
"2411","198","70","60","2341","218","1400000US33015105100","Census Tract 1051, Rockingham County, New Hampshire"
"2600","146","0","16","2600","146","1400000US33015106101","Census Tract 1061.01, Rockingham County, New Hampshire"
"2409","140","11","18","2398","142","1400000US33015106102","Census Tract 1061.02, Rockingham County, New Hampshire"
"1875","119","11","17","1864","119","1400000US33015106200","Census Tract 1062, Rockingham County, New Hampshire"
"1903","126","9","14","1894","126","1400000US33015106400","Census Tract 1064, Rockingham County, New Hampshire"
"1152","58","78","57","1074","91","1400000US33015107100","Census Tract 1071, Rockingham County, New Hampshire"
"2807","128","77","48","2730","140","1400000US33015107200","Census Tract 1072, Rockingham County, New Hampshire"
"465","37","21","23","444","45","1400000US33015107400","Census Tract 1074, Rockingham County, New Hampshire"
"1823","87","22","26","1801","94","1400000US33015107500","Census Tract 1075, Rockingham County, New Hampshire"
"0","11","0","11","0","11","1400000US33015980011","Census Tract 9800.11, Rockingham County, New Hampshire"
"0","11","0","11","0","11","1400000US33015990000","Census Tract 9900, Rockingham County, New Hampshire"
"1028","100","9","15","1019","98","1400000US33017080100","Census Tract 801, Strafford County, New Hampshire"
"1051","100","0","11","1051","100","1400000US33017080202","Census Tract 802.02, Strafford County, New Hampshire"
"629","97","20","17","609","98","1400000US33017080203","Census Tract 802.03, Strafford County, New Hampshire"
"479","75","0","16","479","75","1400000US33017080204","Census Tract 802.04, Strafford County, New Hampshire"
"2491","183","48","69","2443","177","1400000US33017080500","Census Tract 805, Strafford County, New Hampshire"
"3064","172","56","52","3008","176","1400000US33017081100","Census Tract 811, Strafford County, New Hampshire"
"2051","133","38","36","2013","135","1400000US33017081200","Census Tract 812, Strafford County, New Hampshire"
"2344","139","111","112","2233","158","1400000US33017081300","Census Tract 813, Strafford County, New Hampshire"
"985","81","20","17","965","85","1400000US33017081400","Census Tract 814, Strafford County, New Hampshire"
"2732","163","59","57","2673","158","1400000US33017081500","Census Tract 815, Strafford County, New Hampshire"
"2313","122","185","128","2128","179","1400000US33017081600","Census Tract 816, Strafford County, New Hampshire"
"1040","61","0","11","1040","61","1400000US33017082000","Census Tract 820, Strafford County, New Hampshire"
"2882","200","185","92","2697","210","1400000US33017083001","Census Tract 830.01, Strafford County, New Hampshire"
"2245","169","0","11","2245","169","1400000US33017083002","Census Tract 830.02, Strafford County, New Hampshire"
"2130","110","152","95","1978","154","1400000US33017084100","Census Tract 841, Strafford County, New Hampshire"
"3224","216","74","88","3150","240","1400000US33017084200","Census Tract 842, Strafford County, New Hampshire"
"2938","161","188","109","2750","192","1400000US33017084300","Census Tract 843, Strafford County, New Hampshire"
"1676","103","88","63","1588","109","1400000US33017084400","Census Tract 844, Strafford County, New Hampshire"
"1574","113","67","70","1507","121","1400000US33017084500","Census Tract 845, Strafford County, New Hampshire"
"1238","96","9","15","1229","97","1400000US33017084600","Census Tract 846, Strafford County, New Hampshire"
"3183","200","105","86","3078","211","1400000US33017085000","Census Tract 850, Strafford County, New Hampshire"
"1395","85","77","59","1318","108","1400000US33017086000","Census Tract 860, Strafford County, New Hampshire"
"2868","200","234","140","2634","277","1400000US33017087000","Census Tract 870, Strafford County, New Hampshire"
"1811","105","26","24","1785","104","1400000US33017088000","Census Tract 880, Strafford County, New Hampshire"
"1611","78","22","14","1589","82","1400000US33017088500","Census Tract 885, Strafford County, New Hampshire"
"1656","104","42","31","1614","111","1400000US33019975100","Census Tract 9751, Sullivan County, New Hampshire"
"1957","179","8","8","1949","179","1400000US33019975200","Census Tract 9752, Sullivan County, New Hampshire"
"1393","139","33","23","1360","142","1400000US33019975300","Census Tract 9753, Sullivan County, New Hampshire"
"2600","168","102","88","2498","195","1400000US33019975400","Census Tract 9754, Sullivan County, New Hampshire"
