"B19057_001E","B19057_001M","B19057_002E","B19057_002M","B19057_003E","B19057_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With public assistance income","Margin of Error!!Total:!!With public assistance income","Estimate!!Total:!!No public assistance income","Margin of Error!!Total:!!No public assistance income","id","Geographic Area Name"
"1332","90","35","28","1297","96","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"1491","128","36","33","1455","123","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"1370","134","0","11","1370","134","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"1119","93","30","29","1089","98","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"1434","109","58","57","1376","105","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"1515","120","12","18","1503","124","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"1753","153","42","36","1711","154","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"2998","229","151","87","2847","233","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"1747","116","92","56","1655","129","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"1969","180","72","55","1897","189","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"1937","148","67","50","1870","156","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"1280","120","47","34","1233","122","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"659","82","6","8","653","83","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"2373","141","67","57","2306","138","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"2075","179","61","62","2014","180","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"1995","194","21","34","1974","189","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"2858","250","69","69","2789","266","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"1917","181","74","77","1843","206","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"1112","102","0","11","1112","102","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"2250","173","33","29","2217","173","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"1205","105","13","11","1192","105","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"2011","164","45","59","1966","172","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"2420","212","46","45","2374","215","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"3000","206","120","130","2880","191","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"1765","118","8","13","1757","117","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"923","104","17","15","906","102","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"1720","72","19","11","1701","72","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
"1677","112","7","10","1670","111","1400000US33005970200","Census Tract 9702, Cheshire County, New Hampshire"
"2082","98","8","8","2074","100","1400000US33005970400","Census Tract 9704, Cheshire County, New Hampshire"
"2107","219","15","27","2092","213","1400000US33005970500","Census Tract 9705, Cheshire County, New Hampshire"
"1762","171","0","16","1762","171","1400000US33005970600","Census Tract 9706, Cheshire County, New Hampshire"
"1429","79","32","23","1397","82","1400000US33005970700","Census Tract 9707, Cheshire County, New Hampshire"
"1757","88","56","28","1701","89","1400000US33005970800","Census Tract 9708, Cheshire County, New Hampshire"
"3089","233","13","21","3076","235","1400000US33005970900","Census Tract 9709, Cheshire County, New Hampshire"
"2322","176","32","30","2290","171","1400000US33005971000","Census Tract 9710, Cheshire County, New Hampshire"
"2300","160","103","73","2197","166","1400000US33005971100","Census Tract 9711, Cheshire County, New Hampshire"
"1541","117","82","55","1459","132","1400000US33005971300","Census Tract 9713, Cheshire County, New Hampshire"
"1298","125","17","23","1281","121","1400000US33005971401","Census Tract 9714.01, Cheshire County, New Hampshire"
"1731","107","9","14","1722","105","1400000US33005971402","Census Tract 9714.02, Cheshire County, New Hampshire"
"2024","193","33","38","1991","204","1400000US33005971500","Census Tract 9715, Cheshire County, New Hampshire"
"1643","126","66","59","1577","128","1400000US33005971600","Census Tract 9716, Cheshire County, New Hampshire"
"1659","185","33","34","1626","182","1400000US33005971700","Census Tract 9717, Cheshire County, New Hampshire"
"982","73","45","30","937","69","1400000US33007950100","Census Tract 9501, Coos County, New Hampshire"
"1270","87","69","36","1201","98","1400000US33007950200","Census Tract 9502, Coos County, New Hampshire"
"850","61","23","11","827","60","1400000US33007950300","Census Tract 9503, Coos County, New Hampshire"
"1494","76","100","40","1394","82","1400000US33007950400","Census Tract 9504, Coos County, New Hampshire"
"1366","149","57","51","1309","148","1400000US33007950500","Census Tract 9505, Coos County, New Hampshire"
"1447","147","95","50","1352","147","1400000US33007950600","Census Tract 9506, Coos County, New Hampshire"
"1325","105","45","42","1280","112","1400000US33007950700","Census Tract 9507, Coos County, New Hampshire"
"1205","118","140","88","1065","141","1400000US33007950800","Census Tract 9508, Coos County, New Hampshire"
"1443","106","36","29","1407","113","1400000US33007950900","Census Tract 9509, Coos County, New Hampshire"
"916","79","9","7","907","79","1400000US33007951000","Census Tract 9510, Coos County, New Hampshire"
"1470","117","38","34","1432","109","1400000US33007951100","Census Tract 9511, Coos County, New Hampshire"
"2891","224","127","116","2764","263","1400000US33009960100","Census Tract 9601, Grafton County, New Hampshire"
"1801","130","97","58","1704","130","1400000US33009960200","Census Tract 9602, Grafton County, New Hampshire"
"2012","117","58","21","1954","121","1400000US33009960300","Census Tract 9603, Grafton County, New Hampshire"
"1506","126","18","15","1488","123","1400000US33009960400","Census Tract 9604, Grafton County, New Hampshire"
"971","94","18","12","953","93","1400000US33009960500","Census Tract 9605, Grafton County, New Hampshire"
"1754","148","42","39","1712","147","1400000US33009960600","Census Tract 9606, Grafton County, New Hampshire"
"1174","68","0","11","1174","68","1400000US33009960700","Census Tract 9607, Grafton County, New Hampshire"
"1976","228","19","23","1957","225","1400000US33009960800","Census Tract 9608, Grafton County, New Hampshire"
"1291","74","12","8","1279","73","1400000US33009960900","Census Tract 9609, Grafton County, New Hampshire"
"2147","233","59","68","2088","228","1400000US33009961000","Census Tract 9610, Grafton County, New Hampshire"
"1638","133","27","20","1611","135","1400000US33009961100","Census Tract 9611, Grafton County, New Hampshire"
