"B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied","id","Geographic Area Name"
"2820","97","1884","190","936","186","1400000US33011014100","Census Tract 141, Hillsborough County, New Hampshire"
"2075","62","1996","82","79","68","1400000US33011014201","Census Tract 142.01, Hillsborough County, New Hampshire"
"2276","90","2067","135","209","95","1400000US33011014202","Census Tract 142.02, Hillsborough County, New Hampshire"
"2822","69","2724","101","98","65","1400000US33011014300","Census Tract 143, Hillsborough County, New Hampshire"
"1925","92","1737","105","188","76","1400000US33011015100","Census Tract 151, Hillsborough County, New Hampshire"
"2204","105","2119","112","85","59","1400000US33011015200","Census Tract 152, Hillsborough County, New Hampshire"
"1301","79","930","100","371","105","1400000US33011016100","Census Tract 161, Hillsborough County, New Hampshire"
"3115","184","1345","170","1770","199","1400000US33011016201","Census Tract 162.01, Hillsborough County, New Hampshire"
"1900","95","1673","122","227","109","1400000US33011016202","Census Tract 162.02, Hillsborough County, New Hampshire"
"2968","131","2733","125","235","141","1400000US33011017100","Census Tract 171, Hillsborough County, New Hampshire"
"1736","70","1638","91","98","58","1400000US33011018000","Census Tract 180, Hillsborough County, New Hampshire"
"872","77","642","81","230","75","1400000US33011018501","Census Tract 185.01, Hillsborough County, New Hampshire"
"599","38","569","40","30","18","1400000US33011018502","Census Tract 185.02, Hillsborough County, New Hampshire"
"1586","112","1368","112","218","76","1400000US33011019000","Census Tract 190, Hillsborough County, New Hampshire"
"687","55","636","54","51","27","1400000US33011019501","Census Tract 195.01, Hillsborough County, New Hampshire"
"909","55","814","77","95","45","1400000US33011019502","Census Tract 195.02, Hillsborough County, New Hampshire"
"1964","120","1792","120","172","78","1400000US33011020000","Census Tract 200, Hillsborough County, New Hampshire"
"3129","158","2914","198","215","112","1400000US33011021000","Census Tract 210, Hillsborough County, New Hampshire"
"2020","97","1718","96","302","58","1400000US33011021500","Census Tract 215, Hillsborough County, New Hampshire"
"696","51","555","50","141","40","1400000US33011022000","Census Tract 220, Hillsborough County, New Hampshire"
"2533","144","2254","168","279","105","1400000US33011022500","Census Tract 225, Hillsborough County, New Hampshire"
"3019","244","2031","219","988","232","1400000US33011023000","Census Tract 230, Hillsborough County, New Hampshire"
"781","55","683","51","98","30","1400000US33011024000","Census Tract 240, Hillsborough County, New Hampshire"
"993","87","710","91","283","65","1400000US33011025000","Census Tract 250, Hillsborough County, New Hampshire"
"2400","201","2072","190","328","140","1400000US33011025500","Census Tract 255, Hillsborough County, New Hampshire"
"1707","96","1578","102","129","62","1400000US33011200100","Census Tract 2001, Hillsborough County, New Hampshire"
"1577","118","1439","132","138","73","1400000US33011200200","Census Tract 2002, Hillsborough County, New Hampshire"
"1548","106","1354","95","194","85","1400000US33011200300","Census Tract 2003, Hillsborough County, New Hampshire"
"1789","129","97","58","1692","136","1400000US33011200400","Census Tract 2004, Hillsborough County, New Hampshire"
"0","11","0","11","0","11","1400000US33011980101","Census Tract 9801.01, Hillsborough County, New Hampshire"
"1481","76","1114","90","367","87","1400000US33013003001","Census Tract 30.01, Merrimack County, New Hampshire"
"1311","78","1011","99","300","88","1400000US33013003006","Census Tract 30.06, Merrimack County, New Hampshire"
"1788","107","1379","114","409","114","1400000US33013003100","Census Tract 31, Merrimack County, New Hampshire"
"2690","164","2108","223","582","186","1400000US33013003200","Census Tract 32, Merrimack County, New Hampshire"
"938","45","878","53","60","26","1400000US33013030000","Census Tract 300, Merrimack County, New Hampshire"
"1349","68","1247","66","102","44","1400000US33013031001","Census Tract 310.01, Merrimack County, New Hampshire"
"1366","78","1180","84","186","59","1400000US33013031002","Census Tract 310.02, Merrimack County, New Hampshire"
"1454","75","1096","74","358","82","1400000US33013032100","Census Tract 321, Merrimack County, New Hampshire"
"1262","97","346","110","916","140","1400000US33013032200","Census Tract 322, Merrimack County, New Hampshire"
"860","75","239","52","621","85","1400000US33013032300","Census Tract 323, Merrimack County, New Hampshire"
"1644","95","556","101","1088","137","1400000US33013032400","Census Tract 324, Merrimack County, New Hampshire"
"1323","101","952","112","371","99","1400000US33013032500","Census Tract 325, Merrimack County, New Hampshire"
"954","86","573","89","381","93","1400000US33013032600","Census Tract 326, Merrimack County, New Hampshire"
"544","58","456","60","88","39","1400000US33013032701","Census Tract 327.01, Merrimack County, New Hampshire"
"1525","74","934","88","591","81","1400000US33013032706","Census Tract 327.06, Merrimack County, New Hampshire"
"1980","142","1580","149","400","137","1400000US33013032800","Census Tract 328, Merrimack County, New Hampshire"
"2237","129","372","100","1865","154","1400000US33013032900","Census Tract 329, Merrimack County, New Hampshire"
"969","55","882","80","87","53","1400000US33013033000","Census Tract 330, Merrimack County, New Hampshire"
"1787","124","1505","107","282","82","1400000US33013034000","Census Tract 340, Merrimack County, New Hampshire"
"1675","159","1076","143","599","147","1400000US33013035000","Census Tract 350, Merrimack County, New Hampshire"
"2050","174","1759","181","291","138","1400000US33013036000","Census Tract 360, Merrimack County, New Hampshire"
"970","60","892","67","78","40","1400000US33013037000","Census Tract 370, Merrimack County, New Hampshire"
"1374","112","1086","143","288","107","1400000US33013038000","Census Tract 380, Merrimack County, New Hampshire"
"1904","129","1458","131","446","96","1400000US33013038500","Census Tract 385, Merrimack County, New Hampshire"
"2193","126","1950","130","243","100","1400000US33013039000","Census Tract 390, Merrimack County, New Hampshire"
"1805","127","1356","138","449","115","1400000US33013040000","Census Tract 400, Merrimack County, New Hampshire"
"2326","98","2099","91","227","59","1400000US33013040500","Census Tract 405, Merrimack County, New Hampshire"
"1551","161","1256","148","295","90","1400000US33013041000","Census Tract 410, Merrimack County, New Hampshire"
"1558","82","1337","97","221","57","1400000US33013041500","Census Tract 415, Merrimack County, New Hampshire"
"1608","71","1415","100","193","76","1400000US33013042500","Census Tract 425, Merrimack County, New Hampshire"
"1841","146","976","137","865","144","1400000US33013043001","Census Tract 430.01, Merrimack County, New Hampshire"
"2068","163","1504","152","564","142","1400000US33013043002","Census Tract 430.02, Merrimack County, New Hampshire"
"1860","118","1390","132","470","109","1400000US33013044000","Census Tract 440, Merrimack County, New Hampshire"
"1722","95","1099","149","623","129","1400000US33013044100","Census Tract 441, Merrimack County, New Hampshire"
"2460","124","1843","160","617","167","1400000US33013044200","Census Tract 442, Merrimack County, New Hampshire"
"2025","89","1049","122","976","104","1400000US33013044300","Census Tract 443, Merrimack County, New Hampshire"
"1557","78","1361","102","196","83","1400000US33015003301","Census Tract 33.01, Rockingham County, New Hampshire"
"1816","110","1110","92","706","100","1400000US33015003302","Census Tract 33.02, Rockingham County, New Hampshire"
"2380","139","1134","168","1246","176","1400000US33015003400","Census Tract 34, Rockingham County, New Hampshire"
