"B11001_001E","B11001_001M","B11001_002E","B11001_002M","B11001_003E","B11001_003M","B11001_004E","B11001_004M","B11001_005E","B11001_005M","B11001_006E","B11001_006M","B11001_007E","B11001_007M","B11001_008E","B11001_008M","B11001_009E","B11001_009M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!Married-couple family","Margin of Error!!Total:!!Family households:!!Married-couple family","Estimate!!Total:!!Family households:!!Other family:","Margin of Error!!Total:!!Family households:!!Other family:","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!Householder living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone","Estimate!!Total:!!Nonfamily households:!!Householder not living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone","id","Geographic Area Name"
"1586","112","961","92","882","98","79","51","17","21","62","47","625","153","356","127","269","115","1400000US33011019000","Census Tract 190, Hillsborough County, New Hampshire"
"687","55","521","57","458","53","63","25","8","7","55","22","166","42","109","34","57","23","1400000US33011019501","Census Tract 195.01, Hillsborough County, New Hampshire"
"909","55","776","49","656","68","120","49","37","27","83","40","133","52","124","50","9","12","1400000US33011019502","Census Tract 195.02, Hillsborough County, New Hampshire"
"1964","120","1606","111","1339","120","267","120","110","91","157","107","358","115","227","90","131","74","1400000US33011020000","Census Tract 200, Hillsborough County, New Hampshire"
"3129","158","2481","159","2007","216","474","169","156","88","318","142","648","195","421","150","227","100","1400000US33011021000","Census Tract 210, Hillsborough County, New Hampshire"
"2020","97","1411","94","1188","90","223","57","93","34","130","44","609","90","467","81","142","51","1400000US33011021500","Census Tract 215, Hillsborough County, New Hampshire"
"696","51","516","53","375","47","141","48","82","35","59","31","180","50","151","45","29","19","1400000US33011022000","Census Tract 220, Hillsborough County, New Hampshire"
"2533","144","1829","129","1519","148","310","129","117","94","193","94","704","176","484","145","220","117","1400000US33011022500","Census Tract 225, Hillsborough County, New Hampshire"
"3019","244","1863","167","1458","199","405","124","119","89","286","112","1156","290","1016","283","140","107","1400000US33011023000","Census Tract 230, Hillsborough County, New Hampshire"
"781","55","504","56","457","58","47","23","17","12","30","17","277","59","233","56","44","32","1400000US33011024000","Census Tract 240, Hillsborough County, New Hampshire"
"993","87","713","68","563","76","150","48","39","35","111","44","280","81","199","67","81","38","1400000US33011025000","Census Tract 250, Hillsborough County, New Hampshire"
"2400","201","1736","160","1387","159","349","171","167","118","182","116","664","194","488","167","176","110","1400000US33011025500","Census Tract 255, Hillsborough County, New Hampshire"
"1707","96","1325","105","1148","104","177","73","87","61","90","48","382","108","288","90","94","65","1400000US33011200100","Census Tract 2001, Hillsborough County, New Hampshire"
"1577","118","1241","117","1091","113","150","73","14","16","136","73","336","145","291","144","45","40","1400000US33011200200","Census Tract 2002, Hillsborough County, New Hampshire"
"1548","106","1264","93","1140","99","124","64","58","49","66","40","284","113","224","99","60","46","1400000US33011200300","Census Tract 2003, Hillsborough County, New Hampshire"
"1789","129","493","154","227","84","266","143","132","95","134","92","1296","151","1078","158","218","79","1400000US33011200400","Census Tract 2004, Hillsborough County, New Hampshire"
"0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011980101","Census Tract 9801.01, Hillsborough County, New Hampshire"
"1481","76","1122","99","912","110","210","71","75","47","135","53","359","100","212","76","147","77","1400000US33013003001","Census Tract 30.01, Merrimack County, New Hampshire"
"1311","78","907","100","844","93","63","41","41","29","22","23","404","105","236","72","168","80","1400000US33013003006","Census Tract 30.06, Merrimack County, New Hampshire"
"1788","107","1160","82","866","108","294","84","66","57","228","67","628","124","544","118","84","51","1400000US33013003100","Census Tract 31, Merrimack County, New Hampshire"
"2690","164","1976","170","1450","171","526","166","166","103","360","140","714","150","448","160","266","123","1400000US33013003200","Census Tract 32, Merrimack County, New Hampshire"
"938","45","801","37","746","45","55","29","25","18","30","22","137","42","93","32","44","24","1400000US33013030000","Census Tract 300, Merrimack County, New Hampshire"
"1349","68","1188","65","1056","80","132","63","54","37","78","50","161","63","125","57","36","30","1400000US33013031001","Census Tract 310.01, Merrimack County, New Hampshire"
"1366","78","1085","73","1054","75","31","27","0","11","31","27","281","66","281","66","0","11","1400000US33013031002","Census Tract 310.02, Merrimack County, New Hampshire"
"1454","75","989","88","818","85","171","74","6","9","165","73","465","90","306","78","159","65","1400000US33013032100","Census Tract 321, Merrimack County, New Hampshire"
"1262","97","523","88","262","83","261","81","102","53","159","78","739","107","582","106","157","74","1400000US33013032200","Census Tract 322, Merrimack County, New Hampshire"
"860","75","328","58","212","57","116","37","12","13","104","34","532","81","343","71","189","65","1400000US33013032300","Census Tract 323, Merrimack County, New Hampshire"
"1644","95","608","97","439","97","169","76","8","12","161","75","1036","114","851","123","185","79","1400000US33013032400","Census Tract 324, Merrimack County, New Hampshire"
"1323","101","1008","97","832","109","176","84","64","64","112","66","315","97","289","95","26","27","1400000US33013032500","Census Tract 325, Merrimack County, New Hampshire"
"954","86","582","90","493","71","89","59","62","50","27","25","372","94","294","77","78","52","1400000US33013032600","Census Tract 326, Merrimack County, New Hampshire"
