"B11001_001E","B11001_001M","B11001_002E","B11001_002M","B11001_003E","B11001_003M","B11001_004E","B11001_004M","B11001_005E","B11001_005M","B11001_006E","B11001_006M","B11001_007E","B11001_007M","B11001_008E","B11001_008M","B11001_009E","B11001_009M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Family households:","Margin of Error!!Total:!!Family households:","Estimate!!Total:!!Family households:!!Married-couple family","Margin of Error!!Total:!!Family households:!!Married-couple family","Estimate!!Total:!!Family households:!!Other family:","Margin of Error!!Total:!!Family households:!!Other family:","Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Male householder, no spouse present","Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Margin of Error!!Total:!!Family households:!!Other family:!!Female householder, no spouse present","Estimate!!Total:!!Nonfamily households:","Margin of Error!!Total:!!Nonfamily households:","Estimate!!Total:!!Nonfamily households:!!Householder living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder living alone","Estimate!!Total:!!Nonfamily households:!!Householder not living alone","Margin of Error!!Total:!!Nonfamily households:!!Householder not living alone","id","Geographic Area Name"
"2745","185","1994","146","1781","164","213","101","105","67","108","71","751","187","623","185","128","92","1400000US33015103100","Census Tract 1031, Rockingham County, New Hampshire"
"2042","99","1301","137","930","115","371","136","267","133","104","57","741","170","595","167","146","75","1400000US33015104101","Census Tract 1041.01, Rockingham County, New Hampshire"
"1531","86","1114","90","921","107","193","78","67","48","126","70","417","97","351","102","66","58","1400000US33015104102","Census Tract 1041.02, Rockingham County, New Hampshire"
"2411","198","1623","136","1224","153","399","149","193","138","206","100","788","243","615","219","173","134","1400000US33015105100","Census Tract 1051, Rockingham County, New Hampshire"
"2600","146","2129","149","1800","167","329","138","132","79","197","126","471","150","459","147","12","22","1400000US33015106101","Census Tract 1061.01, Rockingham County, New Hampshire"
"2409","140","2099","115","1948","133","151","76","74","54","77","54","310","138","250","127","60","59","1400000US33015106102","Census Tract 1061.02, Rockingham County, New Hampshire"
"1875","119","974","115","697","118","277","90","45","34","232","88","901","141","772","132","129","79","1400000US33015106200","Census Tract 1062, Rockingham County, New Hampshire"
"1903","126","1154","128","985","113","169","93","73","73","96","69","749","159","600","149","149","97","1400000US33015106400","Census Tract 1064, Rockingham County, New Hampshire"
"1152","58","623","109","333","82","290","92","42","47","248","85","529","116","412","92","117","71","1400000US33015107100","Census Tract 1071, Rockingham County, New Hampshire"
"2807","128","1800","177","1364","156","436","128","150","98","286","105","1007","189","659","156","348","131","1400000US33015107200","Census Tract 1072, Rockingham County, New Hampshire"
"465","37","328","34","275","36","53","30","0","11","53","30","137","41","121","38","16","14","1400000US33015107400","Census Tract 1074, Rockingham County, New Hampshire"
"1823","87","1334","79","1102","98","232","77","115","62","117","57","489","100","341","86","148","66","1400000US33015107500","Census Tract 1075, Rockingham County, New Hampshire"
"0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33015980011","Census Tract 9800.11, Rockingham County, New Hampshire"
"0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33015990000","Census Tract 9900, Rockingham County, New Hampshire"
"1028","100","767","69","694","75","73","48","33","40","40","29","261","89","167","66","94","58","1400000US33017080100","Census Tract 801, Strafford County, New Hampshire"
"1051","100","538","67","468","80","70","44","45","40","25","29","513","92","308","93","205","92","1400000US33017080202","Census Tract 802.02, Strafford County, New Hampshire"
"629","97","238","34","209","35","29","16","10","11","19","12","391","91","163","65","228","61","1400000US33017080203","Census Tract 802.03, Strafford County, New Hampshire"
"479","75","140","49","109","26","31","40","25","39","6","9","339","85","111","49","228","75","1400000US33017080204","Census Tract 802.04, Strafford County, New Hampshire"
"2491","183","1808","161","1524","167","284","113","49","30","235","107","683","259","569","229","114","98","1400000US33017080500","Census Tract 805, Strafford County, New Hampshire"
"3064","172","1766","171","1308","161","458","165","158","102","300","115","1298","214","898","162","400","175","1400000US33017081100","Census Tract 811, Strafford County, New Hampshire"
"2051","133","1411","142","1227","160","184","85","123","77","61","40","640","150","497","142","143","89","1400000US33017081200","Census Tract 812, Strafford County, New Hampshire"
"2344","139","925","173","593","166","332","145","73","59","259","144","1419","202","911","175","508","130","1400000US33017081300","Census Tract 813, Strafford County, New Hampshire"
"985","81","411","70","297","57","114","48","45","38","69","34","574","95","401","91","173","59","1400000US33017081400","Census Tract 814, Strafford County, New Hampshire"
"2732","163","1131","197","935","201","196","91","10","19","186","85","1601","242","1040","233","561","185","1400000US33017081500","Census Tract 815, Strafford County, New Hampshire"
"2313","122","1785","133","1388","190","397","180","212","118","185","116","528","137","477","136","51","63","1400000US33017081600","Census Tract 816, Strafford County, New Hampshire"
"1040","61","733","47","604","55","129","48","35","18","94","45","307","74","269","71","38","24","1400000US33017082000","Census Tract 820, Strafford County, New Hampshire"
"2882","200","1833","195","1306","195","527","207","145","102","382","178","1049","254","842","207","207","132","1400000US33017083001","Census Tract 830.01, Strafford County, New Hampshire"
"2245","169","1485","218","1082","215","403","183","158","119","245","127","760","158","621","163","139","79","1400000US33017083002","Census Tract 830.02, Strafford County, New Hampshire"
"2130","110","1343","147","1078","159","265","135","57","66","208","116","787","157","662","153","125","71","1400000US33017084100","Census Tract 841, Strafford County, New Hampshire"
"3224","216","1967","218","1523","205","444","141","200","102","244","114","1257","238","856","223","401","185","1400000US33017084200","Census Tract 842, Strafford County, New Hampshire"
"2938","161","1779","210","1318","179","461","180","243","138","218","131","1159","202","909","185","250","106","1400000US33017084300","Census Tract 843, Strafford County, New Hampshire"
"1676","103","1210","116","746","131","464","131","222","101","242","96","466","118","364","100","102","58","1400000US33017084400","Census Tract 844, Strafford County, New Hampshire"
"1574","113","1041","124","742","104","299","92","91","51","208","83","533","140","429","131","104","64","1400000US33017084500","Census Tract 845, Strafford County, New Hampshire"
"1238","96","856","112","777","123","79","64","28","28","51","60","382","95","259","72","123","80","1400000US33017084600","Census Tract 846, Strafford County, New Hampshire"
"3183","200","2447","204","2044","209","403","153","67","54","336","140","736","242","509","213","227","115","1400000US33017085000","Census Tract 850, Strafford County, New Hampshire"
"1395","85","1203","80","1053","116","150","82","78","64","72","50","192","79","111","64","81","43","1400000US33017086000","Census Tract 860, Strafford County, New Hampshire"
"2868","200","1798","222","1428","234","370","152","206","130","164","94","1070","285","768","232","302","151","1400000US33017087000","Census Tract 870, Strafford County, New Hampshire"
"1811","105","1366","102","1206","120","160","79","77","57","83","58","445","138","372","125","73","40","1400000US33017088000","Census Tract 880, Strafford County, New Hampshire"
"1611","78","1229","68","1071","72","158","48","51","28","107","40","382","59","291","69","91","37","1400000US33017088500","Census Tract 885, Strafford County, New Hampshire"
"1656","104","1241","104","1081","97","160","59","41","23","119","53","415","79","331","73","84","28","1400000US33019975100","Census Tract 9751, Sullivan County, New Hampshire"
"1957","179","1426","123","1212","133","214","93","106","68","108","68","531","157","432","146","99","53","1400000US33019975200","Census Tract 9752, Sullivan County, New Hampshire"
"1393","139","901","90","753","105","148","64","53","39","95","49","492","142","416","137","76","59","1400000US33019975300","Census Tract 9753, Sullivan County, New Hampshire"
"2600","168","1572","151","967","149","605","160","118","76","487","138","1028","213","808","186","220","104","1400000US33019975400","Census Tract 9754, Sullivan County, New Hampshire"
"1207","98","822","91","693","92","129","41","61","33","68","29","385","69","316","62","69","30","1400000US33019975500","Census Tract 9755, Sullivan County, New Hampshire"
"1198","90","851","71","751","65","100","26","44","16","56","23","347","58","248","46","99","34","1400000US33019975600","Census Tract 9756, Sullivan County, New Hampshire"
"2086","184","1379","163","952","189","427","150","183","107","244","116","707","222","656","218","51","49","1400000US33019975700","Census Tract 9757, Sullivan County, New Hampshire"
"1937","154","1272","136","844","140","428","116","133","76","295","109","665","171","539","166","126","54","1400000US33019975800","Census Tract 9758, Sullivan County, New Hampshire"
"1875","162","1085","141","800","169","285","123","40","38","245","116","790","177","662","171","128","75","1400000US33019975901","Census Tract 9759.01, Sullivan County, New Hampshire"
"1419","149","808","141","474","120","334","118","27","32","307","113","611","128","475","115","136","79","1400000US33019975902","Census Tract 9759.02, Sullivan County, New Hampshire"
"532037","2311","349667","2360","278381","2641","71286","1791","23531","1201","47755","1472","182370","2273","140119","2045","42251","1428","0400000US33","New Hampshire"
