"GEO_ID","id"
"NAME","Geographic Area Name"
"B06011_001E","Estimate!!Median income in the past 12 months --!!Total:"
"B06011_001M","Margin of Error!!Median income in the past 12 months --!!Total:"
"B06011_002E","Estimate!!Median income in the past 12 months --!!Total:!!Born in state of residence"
"B06011_002M","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in state of residence"
"B06011_003E","Estimate!!Median income in the past 12 months --!!Total:!!Born in other state of the United States"
"B06011_003M","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in other state of the United States"
"B06011_004E","Estimate!!Median income in the past 12 months --!!Total:!!Native; born outside the United States"
"B06011_004M","Margin of Error!!Median income in the past 12 months --!!Total:!!Native; born outside the United States"
"B06011_005E","Estimate!!Median income in the past 12 months --!!Total:!!Foreign born"
"B06011_005M","Margin of Error!!Median income in the past 12 months --!!Total:!!Foreign born"
