"B14006_001E","B14006_001M","B14006_002E","B14006_002M","B14006_003E","B14006_003M","B14006_004E","B14006_004M","B14006_005E","B14006_005M","B14006_006E","B14006_006M","B14006_007E","B14006_007M","B14006_008E","B14006_008M","B14006_009E","B14006_009M","B14006_010E","B14006_010M","B14006_011E","B14006_011M","B14006_012E","B14006_012M","B14006_013E","B14006_013M","B14006_014E","B14006_014M","B14006_015E","B14006_015M","B14006_016E","B14006_016M","B14006_017E","B14006_017M","B14006_018E","B14006_018M","B14006_019E","B14006_019M","B14006_020E","B14006_020M","B14006_021E","B14006_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Income in the past 12 months below the poverty level:","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:","Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:","Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in college undergraduate years","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in college undergraduate years","Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in graduate or professional school","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:!!Enrolled in school:!!Enrolled in graduate or professional school","Estimate!!Total:!!Income in the past 12 months below the poverty level:!!Not enrolled in school","Margin of Error!!Total:!!Income in the past 12 months below the poverty level:!!Not enrolled in school","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in grade 1 to grade 4","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in grade 5 to grade 8","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in grade 9 to grade 12","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in college undergraduate years","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in college undergraduate years","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in graduate or professional school","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:!!Enrolled in school:!!Enrolled in graduate or professional school","Estimate!!Total:!!Income in the past 12 months at or above the poverty level:!!Not enrolled in school","Margin of Error!!Total:!!Income in the past 12 months at or above the poverty level:!!Not enrolled in school","id","Geographic Area Name"
"3181","58","265","102","110","78","6","10","0","11","0","11","0","11","43","36","61","53","0","11","155","68","2916","123","469","105","9","12","15","16","94","49","92","40","138","66","57","39","64","33","2447","125","1400000US33001965100","Census Tract 9651, Belknap County, New Hampshire"
"3098","222","523","202","110","67","11","19","0","11","32","33","37","35","0","11","30","38","0","11","413","187","2575","271","343","113","24","30","3","10","56","46","99","58","140","77","21","29","0","11","2232","218","1400000US33001965200","Census Tract 9652, Belknap County, New Hampshire"
"3034","237","220","125","58","55","0","11","0","11","0","11","0","11","58","55","0","11","0","11","162","88","2814","262","556","180","11","17","23","36","104","70","104","66","125","75","125","108","64","49","2258","190","1400000US33001965300","Census Tract 9653, Belknap County, New Hampshire"
"2922","45","113","63","12","13","0","11","0","11","0","11","0","11","12","13","0","11","0","11","101","61","2809","78","580","102","54","32","7","13","153","53","134","54","148","60","73","45","11","13","2229","97","1400000US33001965400","Census Tract 9654, Belknap County, New Hampshire"
"3168","118","274","131","48","47","0","11","13","20","0","11","0","11","0","11","35","46","0","11","226","111","2894","183","566","126","70","56","21","31","86","63","99","64","126","63","135","82","29","31","2328","174","1400000US33001965598","Census Tract 9655.98, Belknap County, New Hampshire"
"3641","61","433","216","233","177","10","17","0","11","14","22","92","91","43","51","23","28","51","60","200","90","3208","211","685","154","95","53","25","28","218","107","89","62","90","56","101","62","67","54","2523","184","1400000US33001965600","Census Tract 9656, Belknap County, New Hampshire"
"4598","69","234","112","57","57","0","11","0","11","12","19","12","18","0","11","33","38","0","11","177","88","4364","135","1047","174","52","60","70","48","165","77","265","74","233","88","187","101","75","53","3317","176","1400000US33001965700","Census Tract 9657, Belknap County, New Hampshire"
"6993","195","546","251","89","79","0","16","0","16","19","28","41","45","29","46","0","16","0","16","457","217","6447","399","1376","339","50","56","104","73","217","84","390","211","309","125","246","132","60","57","5071","341","1400000US33001965800","Census Tract 9658, Belknap County, New Hampshire"
"3835","274","596","244","166","146","0","11","38","39","70","63","29","38","29","38","0","11","0","11","430","163","3239","344","644","200","0","11","0","11","24","34","47","51","262","123","227","128","84","55","2595","262","1400000US33001965900","Census Tract 9659, Belknap County, New Hampshire"
"4922","378","660","285","236","134","20","30","97","60","52","80","49","75","18","29","0","16","0","16","424","191","4262","483","1001","284","83","88","0","16","147","121","204","152","271","128","234","166","62","69","3261","374","1400000US33001966000","Census Tract 9660, Belknap County, New Hampshire"
"4053","347","264","127","70","70","0","11","0","11","0","11","19","29","36","41","15","21","0","11","194","96","3789","352","621","162","24","29","37","34","153","101","149","74","147","75","73","50","38","43","3168","303","1400000US33001966100","Census Tract 9661, Belknap County, New Hampshire"
"2869","257","180","70","2","7","0","11","0","11","0","11","0","11","2","7","0","11","0","11","178","69","2689","266","519","116","18","26","14","23","154","71","199","63","54","44","80","60","0","11","2170","226","1400000US33001966200","Census Tract 9662, Belknap County, New Hampshire"
"1172","153","62","25","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","62","25","1110","156","85","40","5","8","0","11","18","17","16","17","17","17","19","17","10","13","1025","142","1400000US33001966401","Census Tract 9664.01, Belknap County, New Hampshire"
"5741","210","332","191","89","94","0","16","0","16","74","95","0","16","0","16","15","25","0","16","243","118","5409","250","1582","344","59","66","55","59","186","103","456","126","388","157","296","285","142","97","3827","378","1400000US33001966402","Census Tract 9664.02, Belknap County, New Hampshire"
"5298","19","124","101","17","27","0","16","0","16","0","16","0","16","17","27","0","16","0","16","107","81","5174","105","1316","223","28","47","0","16","372","142","312","104","374","149","95","71","135","101","3858","241","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"3867","225","300","134","69","59","0","11","0","11","11","18","0","11","5","6","53","59","0","11","231","129","3567","268","566","250","71","59","53","67","110","61","46","53","141","82","93","94","52","63","3001","275","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"5946","421","753","406","248","298","0","16","19","32","60","91","129","203","40","61","0","16","0","16","505","173","5193","500","959","279","35","35","104","64","62","61","281","131","279","173","64","58","134","114","4234","444","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"4063","414","707","339","285","188","26","43","18","25","68","85","42","49","131","94","0","11","0","11","422","190","3356","442","645","193","105","76","17","20","236","109","87","42","137","87","63","54","0","11","2711","324","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"2720","95","227","134","108","93","0","11","0","11","24","35","21","29","56","56","7","10","0","11","119","57","2493","140","427","142","36","23","9","11","74","40","85","60","106","65","90","57","27","20","2066","149","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"4989","229","434","143","37","20","7","14","0","16","3","5","0","16","13","10","7","12","7","11","397","137","4555","272","762","279","46","55","41","27","106","65","225","111","205","113","63","46","76","68","3793","290","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"2896","181","226","70","68","35","0","11","0","11","33","29","0","11","25","18","10","11","0","11","158","55","2670","198","454","97","33","27","30","21","91","34","101","41","117","51","78","35","4","6","2216","162","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"4038","124","436","155","67","49","0","11","0","11","41","31","22","20","0","11","4","12","0","11","369","136","3602","206","434","174","26","27","6","10","89","60","90","71","129","73","84","65","10","16","3168","160","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"5711","215","337","205","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","337","205","5374","305","765","153","132","83","66","51","160","82","120","73","189","91","90","68","8","9","4609","262","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"6102","97","297","202","64","105","25","41","0","16","39","64","0","16","0","16","0","16","0","16","233","129","5805","225","814","247","0","16","0","16","230","141","133","125","296","132","107","100","48","70","4991","278","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
"3991","67","240","106","79","63","0","11","0","11","23","24","25","29","30","32","0","11","1","3","161","71","3751","124","648","168","6","10","47","46","106","55","148","58","176","99","158","84","7","11","3103","195","1400000US33003956300","Census Tract 9563, Carroll County, New Hampshire"
"2139","206","123","69","10","13","0","11","0","11","5","7","5","7","0","11","0","11","0","11","113","67","2016","217","330","100","19","14","0","11","68","29","37","25","73","40","93","68","40","33","1686","206","1400000US33003956400","Census Tract 9564, Carroll County, New Hampshire"
"4017","183","367","125","71","79","0","11","0","11","13","12","18","24","16","23","21","31","3","4","296","87","3650","205","690","106","52","22","18","11","140","47","188","62","187","43","73","30","32","20","2960","162","1400000US33005970100","Census Tract 9701, Cheshire County, New Hampshire"
"3815","76","164","88","6","10","0","11","0","11","0","11","0","11","0","11","0","11","6","10","158","87","3651","111","672","148","0","11","64","47","101","56","151","85","227","126","97","74","32","33","2979","172","1400000US33005970200","Census Tract 9702, Cheshire County, New Hampshire"
"5027","212","360","127","152","96","3","4","7","7","26","18","22","14","43","39","35","41","16","34","208","60","4667","212","833","104","63","28","28","14","172","44","190","62","161","41","180","58","39","19","3834","186","1400000US33005970400","Census Tract 9704, Cheshire County, New Hampshire"
"5173","68","418","202","91","98","26","40","17","26","0","16","0","16","30","34","18","29","0","16","327","167","4755","209","1174","192","43","52","37","40","235","110","291","107","317","121","201","80","50","48","3581","218","1400000US33005970500","Census Tract 9705, Cheshire County, New Hampshire"
"4878","239","363","228","86","82","5","11","0","16","7","15","6","9","33","45","35","56","0","16","277","189","4515","314","1054","173","187","89","57","30","311","90","273","88","118","63","96","54","12","18","3461","320","1400000US33005970600","Census Tract 9706, Cheshire County, New Hampshire"
"3282","217","168","74","33","35","21","30","0","11","0","11","4","7","0","11","8","12","0","11","135","53","3114","221","481","99","74","46","36","17","68","30","89","39","140","58","67","38","7","10","2633","183","1400000US33005970700","Census Tract 9707, Cheshire County, New Hampshire"
"4246","224","363","133","98","69","0","11","0","11","34","41","29","30","35","34","0","11","0","11","265","90","3883","240","776","138","67","42","20","18","130","47","225","82","170","79","132","60","32","22","3107","199","1400000US33005970800","Census Tract 9708, Cheshire County, New Hampshire"
"6988","156","331","209","54","42","0","16","0","16","10","15","0","16","30","33","0","16","14","22","277","204","6657","259","1168","246","100","87","102","84","232","107","181","112","168","108","306","158","79","66","5489","363","1400000US33005970900","Census Tract 9709, Cheshire County, New Hampshire"
"4879","298","170","111","29","44","0","16","0","16","0","16","15","23","14","21","0","16","0","16","141","92","4709","310","1007","193","26","40","83","59","260","100","200","108","302","129","59","64","77","85","3702","254","1400000US33005971000","Census Tract 9710, Cheshire County, New Hampshire"
"4840","439","780","288","250","122","0","16","0","16","64","61","11","17","0","16","175","110","0","16","530","257","4060","477","892","312","123","106","14","22","54","75","125","95","82","71","391","187","103","70","3168","383","1400000US33005971100","Census Tract 9711, Cheshire County, New Hampshire"
"3060","254","392","121","154","82","0","11","11","17","0","11","6","9","46","34","69","54","22","23","238","88","2668","256","560","165","44","41","0","11","84","46","109","49","166","84","121","68","36","30","2108","209","1400000US33005971300","Census Tract 9713, Cheshire County, New Hampshire"
"2636","277","733","203","518","181","0","16","0","16","0","16","0","16","0","16","477","177","41","41","215","90","1903","209","491","162","10","15","21","26","55","40","142","70","46","41","206","131","11","18","1412","166","1400000US33005971401","Census Tract 9714.01, Cheshire County, New Hampshire"
"3776","226","382","133","156","83","0","11","8","12","55","47","42","49","0","11","0","11","51","44","226","74","3394","257","661","136","61","41","45","31","144","58","120","58","144","74","139","93","8","13","2733","228","1400000US33005971402","Census Tract 9714.02, Cheshire County, New Hampshire"
"4997","357","84","50","42","38","0","16","0","16","2","3","0","16","21","27","0","16","19","27","42","32","4913","355","1067","207","4","6","42","31","340","100","326","94","133","68","167","128","55","42","3846","300","1400000US33005971500","Census Tract 9715, Cheshire County, New Hampshire"
"3898","25","437","222","240","193","87","119","16","25","15","24","21","27","35","50","66","92","0","11","197","110","3461","227","589","163","25","23","32","36","160","61","121","58","167","99","84","66","0","11","2872","224","1400000US33005971600","Census Tract 9716, Cheshire County, New Hampshire"
"3862","173","623","260","185","103","73","76","0","11","69","50","11","23","19","23","13","19","0","11","438","182","3239","377","616","275","37","35","29","37","161","88","202","180","80","82","100","77","7","11","2623","347","1400000US33005971700","Census Tract 9717, Cheshire County, New Hampshire"
"1903","177","208","100","50","46","0","11","0","11","16","17","20","30","10","12","4","5","0","11","158","67","1695","147","195","58","12","19","22","19","37","17","69","35","29","15","22","17","4","5","1500","128","1400000US33007950100","Census Tract 9501, Coos County, New Hampshire"
"2510","133","297","130","57","48","0","11","16","20","25","27","6","7","5","9","5","7","0","11","240","88","2213","185","388","108","7","9","17","16","94","33","99","50","81","41","80","48","10","11","1825","137","1400000US33007950200","Census Tract 9502, Coos County, New Hampshire"
"1842","116","179","55","49","40","3","4","0","11","17","19","9","14","4","5","16","19","0","11","130","34","1663","116","288","62","8","7","7","7","61","24","79","32","81","27","45","27","7","6","1375","93","1400000US33007950300","Census Tract 9503, Coos County, New Hampshire"
"3412","216","502","108","114","46","10","17","0","11","22","19","14","14","38","22","26","20","4","5","388","85","2910","215","565","113","38","29","12","11","142","57","112","40","172","56","80","33","9","9","2345","156","1400000US33007950400","Census Tract 9504, Coos County, New Hampshire"
"3070","108","241","118","64","52","0","11","16","23","0","11","21","31","0","11","27","39","0","11","177","89","2829","146","599","125","22","25","25","27","78","55","174","66","189","52","98","67","13","21","2230","188","1400000US33007950500","Census Tract 9505, Coos County, New Hampshire"
"2934","244","804","238","257","189","12","19","44","53","0","11","19","27","92","54","75","107","15","21","547","172","2130","266","346","110","0","11","0","11","83","60","52","47","97","63","106","59","8","13","1784","218","1400000US33007950600","Census Tract 9506, Coos County, New Hampshire"
"2775","234","243","89","38","44","0","11","0","11","0","11","0","11","32","42","6","11","0","11","205","73","2532","241","433","129","37","39","31","48","56","52","166","110","96","69","47","56","0","11","2099","188","1400000US33007950700","Census Tract 9507, Coos County, New Hampshire"
"2241","285","429","212","107","76","27","43","0","11","22","32","19","30","26","27","13","19","0","11","322","153","1812","267","168","86","27","31","0","11","67","52","9","21","25","30","40","43","0","11","1644","240","1400000US33007950800","Census Tract 9508, Coos County, New Hampshire"
