"B14006_001E","B14006_001M","B14006_002E","B14006_002M","B14006_003E","B14006_003M","B14006_004E","B14006_004M","B14006_005E","B14006_005M","B14006_006E","B14006_006M","B14006_007E","B14006_007M","B14006_008E","B14006_008M","B14006_009E","B14006_009M","B14006_010E","B14006_010M","B14006_011E","B14006_011M","B14006_012E","B14006_012M","B14006_013E","B14006_013M","B14006_014E","B14006_014M","B14006_015E","B14006_015M","B14006_016E","B14006_016M","B14006_017E","B14006_017M","B14006_018E","B14006_018M","B14006_019E","B14006_019M","B14006_020E","B14006_020M","B14006_021E","B14006_021M","GEO_ID","NAME"
"3000","71","136","53","28","25","0","11","0","11","0","11","0","11","7","10","21","17","0","11","108","48","2864","82","508","94","28","23","8","12","91","41","155","50","107","42","109","67","10","13","2356","121","1400000US33007950900","Census Tract 9509, Coos County, New Hampshire"
"1952","187","136","70","49","67","3","5","0","11","0","11","4","5","31","61","11","24","0","11","87","66","1816","180","277","85","23","16","10","13","85","41","48","33","37","26","64","33","10","9","1539","138","1400000US33007951000","Census Tract 9510, Coos County, New Hampshire"
"2995","192","391","101","108","59","0","11","0","11","30","28","30","24","43","26","5","7","0","11","283","68","2604","195","472","118","30","28","22","17","49","31","120","53","86","40","108","56","57","44","2132","148","1400000US33007951100","Census Tract 9511, Coos County, New Hampshire"
"5696","125","1172","408","465","392","89","97","62","57","55","53","159","201","0","16","100","108","0","16","707","238","4524","387","411","270","0","16","0","16","122","117","77","48","63","59","97","108","52","51","4113","421","1400000US33009960100","Census Tract 9601, Grafton County, New Hampshire"
"4144","223","314","101","65","41","0","11","7","8","3","5","23","26","7","8","25","29","0","11","249","92","3830","230","611","117","24","13","20","15","76","40","159","49","152","55","147","74","33","21","3219","178","1400000US33009960200","Census Tract 9602, Grafton County, New Hampshire"
"4919","246","396","90","103","44","11","8","5","5","16","11","29","30","31","26","11","9","0","16","293","61","4523","235","788","107","75","29","54","25","175","47","134","37","201","55","91","46","58","46","3735","215","1400000US33009960300","Census Tract 9603, Grafton County, New Hampshire"
"3532","208","154","82","42","46","0","11","0","11","19","28","0","11","0","11","16","27","7","11","112","56","3378","223","584","126","30","32","59","50","112","50","101","52","174","71","83","48","25","27","2794","214","1400000US33009960400","Census Tract 9604, Grafton County, New Hampshire"
"2264","241","137","50","34","22","2","4","0","11","5","8","0","11","14","12","13","16","0","11","103","37","2127","235","339","119","9","7","30","27","71","41","89","51","44","18","64","33","32","31","1788","171","1400000US33009960500","Census Tract 9605, Grafton County, New Hampshire"
"4121","112","265","149","96","93","0","11","0","11","59","64","0","11","9","14","28","53","0","11","169","104","3856","208","797","158","107","90","21","31","166","82","103","70","234","108","78","59","88","86","3059","185","1400000US33009960600","Census Tract 9606, Grafton County, New Hampshire"
"3132","348","251","118","78","64","4","5","7","10","14","14","7","10","23","22","23","27","0","11","173","84","2881","287","503","105","41","20","17","12","85","27","87","31","99","31","114","56","60","27","2378","265","1400000US33009960700","Census Tract 9607, Grafton County, New Hampshire"
"4743","271","426","168","40","30","0","11","10","17","0","11","9","10","17","17","4","7","0","11","386","155","4317","234","842","334","8","11","19","26","93","49","140","61","214","95","286","227","82","72","3475","350","1400000US33009960800","Census Tract 9608, Grafton County, New Hampshire"
"3161","212","180","42","26","21","0","11","0","11","0","11","6","7","8","16","12","12","0","11","154","43","2981","197","609","80","67","29","32","20","127","38","141","33","141","45","64","26","37","23","2372","170","1400000US33009960900","Census Tract 9609, Grafton County, New Hampshire"
"5317","205","723","336","202","143","0","16","0","16","149","143","0","16","53","79","0","16","0","16","521","241","4594","392","908","302","14","27","0","16","313","125","197","117","179","144","126","103","79","76","3686","349","1400000US33009961000","Census Tract 9610, Grafton County, New Hampshire"
"4034","334","561","200","141","91","0","11","23","24","37","31","54","57","22","18","5","8","0","11","420","157","3473","290","760","168","0","11","18","17","147","60","147","57","196","73","200","108","52","35","2713","230","1400000US33009961100","Census Tract 9611, Grafton County, New Hampshire"
"4176","242","391","148","71","75","0","11","0","11","15","18","13","17","34","40","9","15","0","11","320","107","3785","207","646","147","46","39","55","53","169","69","130","72","68","37","143","80","35","37","3139","201","1400000US33009961200","Census Tract 9612, Grafton County, New Hampshire"
"3485","235","305","79","53","28","0","11","0","11","12","11","13","12","22","17","2","3","4","7","252","63","3180","235","527","66","27","22","20","21","97","32","87","26","175","44","91","39","30","23","2653","221","1400000US33009961300","Census Tract 9613, Grafton County, New Hampshire"
"3848","69","150","88","17","23","0","11","0","11","0","11","0","11","17","23","0","11","0","11","133","72","3698","93","772","148","32","30","0","11","189","103","225","115","141","87","170","112","15","20","2926","182","1400000US33009961400","Census Tract 9614, Grafton County, New Hampshire"
"4406","95","180","120","1","4","0","11","0","11","0","11","0","11","0","11","0","11","1","4","179","121","4226","148","574","258","46","55","10","19","155","73","209","156","37","43","59","55","58","48","3652","211","1400000US33009961500","Census Tract 9615, Grafton County, New Hampshire"
"2899","361","10","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","15","2889","361","751","140","31","30","58","44","231","60","132","54","138","65","51","48","110","123","2138","268","1400000US33009961601","Census Tract 9616.01, Grafton County, New Hampshire"
"4351","395","617","287","370","233","0","16","0","16","0","16","52","82","59","90","109","115","150","132","247","145","3734","384","988","237","41","36","69","49","134","66","223","105","173","84","176","132","172","129","2746","328","1400000US33009961602","Census Tract 9616.02, Grafton County, New Hampshire"
"7341","391","951","325","294","160","31","35","32","31","58","51","56","61","0","16","24","39","93","84","657","249","6390","452","1220","257","129","81","74","53","127","89","188","105","166","89","138","90","398","133","5170","498","1400000US33009961700","Census Tract 9617, Grafton County, New Hampshire"
"5545","375","415","168","195","114","0","16","0","16","25","27","13","14","33","35","66","78","58","66","220","128","5130","411","922","312","60","49","58","66","167","96","83","59","233","126","199","165","122","85","4208","374","1400000US33009961800","Census Tract 9618, Grafton County, New Hampshire"
"2885","218","144","77","75","65","0","11","0","11","0","11","0","11","0","11","62","62","13","19","69","48","2741","232","620","209","15","18","7","12","203","85","179","90","181","102","28","33","7","12","2121","156","1400000US33011000101","Census Tract 1.01, Hillsborough County, New Hampshire"
"4330","310","567","229","411","211","0","16","9","15","9","15","0","16","0","16","94","97","299","211","156","76","3763","323","758","218","63","54","20","24","130","64","195","107","75","56","136","77","139","69","3005","200","1400000US33011000102","Census Tract 1.02, Hillsborough County, New Hampshire"
"2342","188","450","178","113","92","39","42","0","11","38","41","27","39","9","15","0","11","0","11","337","133","1892","275","516","142","56","44","48","43","72","45","114","69","127","74","64","43","35","25","1376","198","1400000US33011000202","Census Tract 2.02, Hillsborough County, New Hampshire"
"3265","312","295","169","72","61","0","11","0","11","31","49","0","11","0","11","9","16","32","37","223","130","2970","300","396","129","0","11","42","39","38","36","49","46","29","28","185","89","53","42","2574","251","1400000US33011000203","Census Tract 2.03, Hillsborough County, New Hampshire"
"5010","425","553","282","248","157","0","16","42","57","40","56","0","16","0","16","63","50","103","110","305","184","4457","526","615","190","81","55","26","29","155","80","39","45","77","91","188","94","49","48","3842","472","1400000US33011000204","Census Tract 2.04, Hillsborough County, New Hampshire"
"2876","263","545","263","47","46","15","27","0","11","0","11","9","15","10","16","6","10","7","11","498","245","2331","337","459","189","47","73","0","11","127","91","67","62","101","77","79","64","38","35","1872","258","1400000US33011000300","Census Tract 3, Hillsborough County, New Hampshire"
"2065","214","274","107","53","44","4","8","0","11","0","11","0","11","7","9","16","24","26","33","221","94","1791","237","207","85","6","11","7","11","63","45","47","43","15","19","10","16","59","45","1584","224","1400000US33011000600","Census Tract 6, Hillsborough County, New Hampshire"
"2766","184","147","98","72","103","0","11","0","11","0","11","9","15","0","11","63","102","0","11","75","54","2619","187","502","145","18","29","15","23","90","64","58","37","109","69","106","77","106","99","2117","160","1400000US33011000700","Census Tract 7, Hillsborough County, New Hampshire"
"1886","185","290","112","85","74","0","11","0","11","36","36","26","29","20","19","0","11","3","12","205","66","1596","210","387","117","30","30","17","20","49","30","45","28","75","54","93","48","78","50","1209","145","1400000US33011000800","Census Tract 8, Hillsborough County, New Hampshire"
"3266","250","211","154","101","104","0","11","0","11","0","11","27","42","38","58","0","11","36","41","110","66","3055","274","648","174","10","17","84","57","73","47","127","117","154","88","127","80","73","51","2407","245","1400000US33011000901","Census Tract 9.01, Hillsborough County, New Hampshire"
"5555","514","636","271","169","148","0","16","0","16","41","60","0","16","0","16","113","134","15","29","467","202","4919","497","1266","439","33","39","105","95","283","161","212","183","298","148","278","196","57","89","3653","354","1400000US33011000902","Census Tract 9.02, Hillsborough County, New Hampshire"
"5614","320","348","184","114","106","12","21","0","16","24","41","12","21","0","16","66","58","0","16","234","134","5266","387","1155","226","68","44","56","62","183","78","262","91","222","108","273","157","91","72","4111","303","1400000US33011001000","Census Tract 10, Hillsborough County, New Hampshire"
"5067","364","226","120","50","59","0","16","0","16","0","16","0","16","50","59","0","16","0","16","176","94","4841","395","1058","227","108","61","16","23","163","59","136","103","296","129","251","125","88","81","3783","342","1400000US33011001100","Census Tract 11, Hillsborough County, New Hampshire"
"1654","131","125","85","42","58","0","11","0","11","0","11","0","11","42","58","0","11","0","11","83","44","1529","149","263","93","30","24","4","11","39","29","46","22","76","45","44","27","24","22","1266","145","1400000US33011001200","Census Tract 12, Hillsborough County, New Hampshire"
"2927","269","683","206","117","72","0","11","13","18","24","24","11","20","25","30","30","36","14","24","566","184","2244","308","432","153","36","40","19","30","46","42","117","80","90","73","116","60","8","12","1812","236","1400000US33011001300","Census Tract 13, Hillsborough County, New Hampshire"
"2089","255","875","202","268","128","0","11","39","35","113","71","45","40","29","29","36","35","6","10","607","131","1214","271","199","95","36","33","0","11","32","35","51","33","44","34","36","32","0","11","1015","216","1400000US33011001400","Census Tract 14, Hillsborough County, New Hampshire"
"2959","313","830","244","332","145","0","11","43","37","91","55","114","59","40","40","38","41","6","10","498","136","2129","322","525","145","20","22","37","32","99","51","157","56","148","67","49","35","15","23","1604","251","1400000US33011001500","Census Tract 15, Hillsborough County, New Hampshire"
"4241","440","732","290","235","159","27","45","44","47","71","62","37","45","29","30","27","29","0","11","497","197","3509","472","574","218","25","24","8","13","78","63","107","76","187","155","139","82","30","27","2935","437","1400000US33011001600","Census Tract 16, Hillsborough County, New Hampshire"
"1994","247","170","115","56","73","0","11","0","11","48","72","0","11","0","11","8","13","0","11","114","65","1824","260","427","162","37","41","12","20","76","61","121","74","60","42","121","80","0","11","1397","202","1400000US33011001700","Census Tract 17, Hillsborough County, New Hampshire"
"5845","452","818","381","323","292","0","16","0","16","134","138","76","73","19","30","47","70","47","78","495","210","5027","468","1221","267","178","147","76","63","183","103","221","145","314","150","194","137","55","48","3806","386","1400000US33011001800","Census Tract 18, Hillsborough County, New Hampshire"
"3120","475","768","313","249","142","0","11","0","11","52","78","44","40","81","62","0","11","72","89","519","225","2352","436","407","202","104","83","5","18","58","65","68","52","40","40","49","53","83","88","1945","377","1400000US33011001900","Census Tract 19, Hillsborough County, New Hampshire"
