"B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more","id","Geographic Area Name"
"836","66","10","9","8","9","20","17","4","5","3","4","0","11","0","11","5","5","18","16","17","12","71","40","33","18","52","30","115","44","90","34","72","28","48","21","111","43","80","30","56","22","8","9","12","13","3","4","0","11","0","11","0","11","1400000US33007950100","Census Tract 9501, Coos County, New Hampshire"
"965","77","48","38","9","12","11","10","27","18","8","10","6","9","7","8","19","14","50","37","18","14","53","24","31","26","85","35","83","44","59","29","93","38","59","32","118","40","84","33","50","25","23","24","15","13","0","11","5","8","0","11","4","5","1400000US33007950200","Census Tract 9502, Coos County, New Hampshire"
"727","56","0","11","0","11","3","5","3","4","0","11","5","5","0","11","13","10","18","11","17","10","9","8","19","12","51","25","57","19","77","24","146","37","60","24","111","27","70","20","41","19","14","17","10","9","3","4","0","11","0","11","0","11","1400000US33007950300","Census Tract 9503, Coos County, New Hampshire"
"1064","89","30","20","13","12","22","18","35","27","7","7","16","13","55","37","72","36","43","21","57","24","133","48","56","25","54","21","98","34","110","39","75","37","16","12","93","37","26","16","26","19","8","10","0","11","0","11","17","16","0","11","2","4","1400000US33007950400","Census Tract 9504, Coos County, New Hampshire"
"1019","108","5","9","0","11","35","36","41","36","10","17","6","10","21","25","0","11","52","39","8","12","33","40","65","41","37","23","135","67","177","76","73","39","83","50","94","42","71","44","21","21","20","22","23","25","9","14","0","11","0","11","0","11","1400000US33007950500","Census Tract 9505, Coos County, New Hampshire"
"822","133","26","25","0","11","0","11","0","11","0","11","20","30","27","23","42","29","56","38","127","77","52","32","62","60","68","39","144","75","43","30","58","31","10","16","40","45","20","22","27","38","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007950600","Census Tract 9506, Coos County, New Hampshire"
"871","117","0","11","0","11","0","11","0","11","0","11","25","29","19","20","60","39","90","44","83","40","41","30","65","51","88","55","108","49","178","85","27","24","9","14","17","28","47","42","9","15","0","11","0","11","5","11","0","11","0","11","0","11","1400000US33007950700","Census Tract 9507, Coos County, New Hampshire"
"535","89","0","11","0","11","0","11","25","26","23","36","0","11","31","33","63","38","39","28","43","29","11","17","25","31","126","56","26","25","75","44","33","39","0","11","9","14","0","11","6","12","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33007950800","Census Tract 9508, Coos County, New Hampshire"
"1123","88","29","24","2","3","52","38","0","11","0","11","12","16","6","11","6","10","9","13","11","16","83","50","39","29","17","17","119","47","156","61","137","57","52","32","93","40","135","53","116","47","30","25","14","16","0","11","5","7","0","11","0","11","1400000US33007950900","Census Tract 9509, Coos County, New Hampshire"
"759","75","0","11","0","11","0","11","3","4","0","11","8","7","0","11","5","6","10","8","6","6","6","6","10","7","20","15","49","24","69","26","68","27","90","34","117","32","129","34","99","30","25","12","35","13","6","5","4","5","0","11","0","11","1400000US33007951000","Census Tract 9510, Coos County, New Hampshire"
"1007","101","7","10","4","7","11","12","13","14","26","14","16","13","4","6","18","15","53","28","44","30","31","27","59","35","38","26","144","52","98","36","127","50","95","47","90","34","33","22","31","20","42","20","23","18","0","11","0","11","0","11","0","11","1400000US33007951100","Census Tract 9511, Coos County, New Hampshire"
"1510","218","25","38","0","16","47","44","0","16","0","16","0","16","19","31","0","16","14","23","17","26","45","46","66","47","59","52","117","75","124","73","275","144","117","72","226","104","191","90","100","71","0","16","35","42","13","27","20","30","0","16","0","16","1400000US33009960100","Census Tract 9601, Grafton County, New Hampshire"
"1401","109","12","19","18","29","3","5","2","6","0","11","0","11","18","27","7","11","5","7","6","8","5","8","30","19","10","10","116","43","131","44","153","54","58","29","202","57","175","51","190","49","105","32","109","42","34","26","12","9","0","11","0","11","1400000US33009960200","Census Tract 9602, Grafton County, New Hampshire"
"1649","98","5","6","9","9","2","3","12","9","12","16","7","6","3","4","12","10","14","8","76","55","48","28","45","17","67","25","134","34","150","38","237","43","137","47","186","37","183","46","176","41","58","23","48","24","9","6","10","9","5","5","4","6","1400000US33009960300","Census Tract 9603, Grafton County, New Hampshire"
"1203","127","6","8","0","11","7","11","13","20","5","7","0","11","4","7","34","42","0","11","18","16","23","29","15","15","11","12","44","33","67","35","116","44","127","56","199","59","173","56","185","58","68","35","76","49","3","4","7","8","0","11","2","3","1400000US33009960400","Census Tract 9604, Grafton County, New Hampshire"
"772","82","19","19","11","15","2","5","6","6","8","7","2","3","15","13","3","4","15","13","30","18","22","18","32","17","12","7","43","18","59","23","126","42","83","32","100","35","81","28","41","16","28","20","14","10","4","5","0","11","11","17","5","7","1400000US33009960500","Census Tract 9605, Grafton County, New Hampshire"
"1335","147","0","11","9","16","102","96","9","15","14","22","14","22","48","74","40","34","33","42","0","11","97","63","71","57","35","39","159","71","232","106","83","83","61","50","143","71","86","55","37","43","0","11","45","51","17","28","0","11","0","11","0","11","1400000US33009960600","Census Tract 9606, Grafton County, New Hampshire"
"983","71","3","4","5","7","11","8","2","3","0","11","0","11","4","5","4","6","2","3","3","5","9","14","20","10","18","10","61","20","52","25","119","27","88","30","174","36","102","26","120","29","95","27","28","22","22","13","30","28","8","7","3","5","1400000US33009960700","Census Tract 9607, Grafton County, New Hampshire"
"1578","201","62","75","11","17","33","46","3","5","0","11","0","11","0","11","0","11","35","30","0","11","22","23","34","23","34","27","71","41","139","80","368","110","140","64","185","74","154","73","165","88","107","74","12","9","0","11","3","5","0","11","0","11","1400000US33009960800","Census Tract 9608, Grafton County, New Hampshire"
"1158","78","4","4","0","11","11","9","10","12","8","13","5","5","3","4","2","3","15","14","4","5","15","13","11","10","9","7","58","24","61","22","55","20","51","19","88","37","121","29","165","29","123","33","197","40","77","29","32","20","27","15","6","6","1400000US33009960900","Census Tract 9609, Grafton County, New Hampshire"
"1379","271","0","16","14","29","53","63","0","16","0","16","18","28","63","90","37","41","0","16","27","47","0","16","0","16","19","30","104","89","36","31","237","163","270","155","115","85","137","84","225","123","0","16","0","16","24","39","0","16","0","16","0","16","1400000US33009961000","Census Tract 9610, Grafton County, New Hampshire"
"1074","124","14","15","0","11","6","9","24","28","0","11","6","9","0","11","0","11","17","15","11","12","0","11","48","43","7","11","84","39","80","45","84","44","40","25","137","55","180","56","149","54","67","36","53","36","16","16","0","11","23","30","28","35","1400000US33009961100","Census Tract 9611, Grafton County, New Hampshire"
"1323","137","9","11","0","11","37","44","12","16","3","5","0","11","2","5","13","15","3","6","15","17","26","18","11","14","16","20","100","63","37","30","179","79","157","60","224","60","116","61","178","61","65","29","61","32","5","5","35","31","3","5","16","14","1400000US33009961200","Census Tract 9612, Grafton County, New Hampshire"
"1236","80","12","14","3","5","3","4","4","5","5","6","12","9","3","5","13","10","16","10","17","14","40","19","29","19","16","9","100","32","102","34","183","37","184","45","196","38","162","45","105","32","9","7","9","7","0","11","6","6","0","11","7","7","1400000US33009961300","Census Tract 9613, Grafton County, New Hampshire"
"1190","151","7","11","0","11","0","11","31","28","9","14","0","11","0","11","26","40","13","18","25","30","0","11","15","23","0","11","103","69","89","61","86","52","163","75","238","96","160","68","163","75","20","24","42","36","0","11","0","11","0","11","0","11","1400000US33009961400","Census Tract 9614, Grafton County, New Hampshire"
"1323","176","14","22","0","11","35","49","0","11","0","11","0","11","0","11","29","33","0","11","24","27","14","23","0","11","0","11","0","11","97","56","94","57","89","48","99","63","290","119","133","72","171","102","174","101","33","37","11","18","16","27","0","11","1400000US33009961500","Census Tract 9615, Grafton County, New Hampshire"
"815","123","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","13","85","63","145","59","150","66","240","69","131","47","34","28","22","21","0","11","1400000US33009961601","Census Tract 9616.01, Grafton County, New Hampshire"
"1053","138","17","27","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","17","26","0","16","0","16","0","16","42","40","79","70","153","100","109","78","264","108","167","82","113","57","12","21","80","49","1400000US33009961602","Census Tract 9616.02, Grafton County, New Hampshire"
"1623","189","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","14","22","0","16","13","21","0","16","26","30","82","47","24","26","210","130","184","89","346","126","237","107","229","84","122","74","81","88","0","16","40","36","15","25","0","16","1400000US33009961700","Census Tract 9617, Grafton County, New Hampshire"
"1476","154","0","16","86","76","44","70","0","16","13","22","0","16","0","16","0","16","36","31","25","27","12","21","27","31","0","16","16","26","39","42","30","34","66","55","318","119","259","104","298","115","84","59","108","72","0","16","0","16","0","16","15","24","1400000US33009961800","Census Tract 9618, Grafton County, New Hampshire"
"735","100","0","11","10","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","16","10","16","26","41","0","11","9","15","37","29","92","56","127","55","252","62","92","39","61","37","9","15","0","11","0","11","0","11","1400000US33011000101","Census Tract 1.01, Hillsborough County, New Hampshire"
"1256","95","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","7","12","0","16","0","16","0","16","0","16","10","16","24","21","68","50","115","40","209","76","275","79","322","79","159","57","48","48","10","15","9","12","0","16","0","16","1400000US33011000102","Census Tract 1.02, Hillsborough County, New Hampshire"
"463","62","12","18","0","11","0","11","10","11","3","5","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","21","21","23","21","66","35","84","33","86","33","82","32","68","35","0","11","8","15","0","11","0","11","0","11","0","11","1400000US33011000202","Census Tract 2.02, Hillsborough County, New Hampshire"
"368","84","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","13","29","26","0","11","21","22","63","42","49","49","38","29","8","12","82","47","36","29","24","24","0","11","0","11","0","11","0","11","0","11","10","15","1400000US33011000203","Census Tract 2.03, Hillsborough County, New Hampshire"
"657","119","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","13","23","14","24","17","26","17","29","0","16","16","25","15","25","51","43","49","40","206","87","86","66","101","61","72","56","0","16","0","16","0","16","0","16","0","16","1400000US33011000204","Census Tract 2.04, Hillsborough County, New Hampshire"
"360","88","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","18","0","11","49","41","97","55","63","43","89","70","19","21","0","11","17","19","0","11","0","11","0","11","14","21","1400000US33011000300","Census Tract 3, Hillsborough County, New Hampshire"
"123","35","0","11","0","11","0","11","0","11","0","11","0","11","16","24","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","16","27","25","26","25","40","29","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011000600","Census Tract 6, Hillsborough County, New Hampshire"
"921","87","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","16","0","11","9","14","0","11","7","12","0","11","20","22","54","48","8","12","338","95","261","99","146","47","68","50","0","11","0","11","0","11","0","11","0","11","1400000US33011000700","Census Tract 7, Hillsborough County, New Hampshire"
"301","74","8","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","8","5","7","10","10","29","27","5","7","93","39","55","29","87","57","0","11","3","7","0","11","0","11","0","11","0","11","1400000US33011000800","Census Tract 8, Hillsborough County, New Hampshire"
"906","115","8","12","0","11","0","11","0","11","16","18","0","11","0","11","0","11","0","11","11","17","7","12","0","11","12","18","27","30","45","57","72","54","11","16","200","77","367","91","89","55","30","27","11","16","0","11","0","11","0","11","0","11","1400000US33011000901","Census Tract 9.01, Hillsborough County, New Hampshire"
"1131","177","0","16","0","16","0","16","0","16","0","16","13","22","0","16","0","16","0","16","0","16","0","16","0","16","12","19","16","25","138","78","146","99","70","50","69","53","263","103","315","94","24","41","65","53","0","16","0","16","0","16","0","16","1400000US33011000902","Census Tract 9.02, Hillsborough County, New Hampshire"
"1762","162","15","26","0","16","23","26","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","20","31","0","16","115","66","160","75","311","137","323","110","517","156","254","96","24","42","0","16","0","16","0","16","0","16","0","16","1400000US33011001000","Census Tract 10, Hillsborough County, New Hampshire"
"1663","181","0","16","18","29","0","16","0","16","32","25","0","16","0","16","0","16","16","25","0","16","0","16","0","16","0","16","0","16","98","76","80","48","301","111","622","175","293","133","203","89","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011001100","Census Tract 11, Hillsborough County, New Hampshire"
"404","69","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","14","0","11","0","11","0","11","5","8","12","14","31","21","37","21","146","46","110","51","28","27","23","26","0","11","0","11","0","11","0","11","0","11","1400000US33011001200","Census Tract 12, Hillsborough County, New Hampshire"
"206","64","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","18","25","23","49","29","36","29","40","35","19","18","16","17","0","11","8","13","0","11","0","11","0","11","0","11","1400000US33011001300","Census Tract 13, Hillsborough County, New Hampshire"
"53","40","0","11","10","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","4","6","0","11","4","7","28","26","0","11","5","8","0","11","0","11","0","11","2","4","0","11","0","11","0","11","0","11","1400000US33011001400","Census Tract 14, Hillsborough County, New Hampshire"
"95","38","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","4","7","0","11","0","11","4","7","18","17","17","15","27","21","5","6","20","24","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011001500","Census Tract 15, Hillsborough County, New Hampshire"
"284","82","0","11","0","11","7","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","11","0","11","0","11","18","21","34","32","7","11","17","19","37","33","81","52","76","64","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011001600","Census Tract 16, Hillsborough County, New Hampshire"
"188","68","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","14","20","33","0","11","10","13","12","18","33","23","56","47","30","30","18","24","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011001700","Census Tract 17, Hillsborough County, New Hampshire"
"1149","208","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","43","57","0","16","0","16","0","16","0","16","41","39","52","67","152","110","173","101","411","155","125","76","137","89","0","16","15","24","0","16","0","16","0","16","0","16","1400000US33011001800","Census Tract 18, Hillsborough County, New Hampshire"
"283","91","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","16","17","25","39","45","57","39","57","48","39","34","15","17","0","11","27","24","16","18","0","11","6","9","0","11","0","11","0","11","0","11","1400000US33011001900","Census Tract 19, Hillsborough County, New Hampshire"
"106","40","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","8","0","11","0","11","6","9","4","7","19","21","33","26","25","26","4","6","6","9","0","11","0","11","4","6","0","11","0","11","0","11","1400000US33011002000","Census Tract 20, Hillsborough County, New Hampshire"
"471","90","0","16","0","16","11","17","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","9","14","48","26","116","50","37","29","133","58","117","65","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011002100","Census Tract 21, Hillsborough County, New Hampshire"
"783","108","0","11","0","11","16","25","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","14","0","11","8","13","17","20","50","27","178","66","377","106","108","61","10","15","0","11","10","12","0","11","0","11","0","11","0","11","1400000US33011002200","Census Tract 22, Hillsborough County, New Hampshire"
"905","110","10","15","0","11","9","14","10","15","0","11","0","11","0","11","9","14","0","11","0","11","0","11","0","11","0","11","44","35","34","24","71","37","179","72","272","73","218","93","39","30","10","17","0","11","0","11","0","11","0","11","0","11","1400000US33011002300","Census Tract 23, Hillsborough County, New Hampshire"
"1460","203","0","16","0","16","0","16","15","25","0","16","0","16","0","16","0","16","30","25","0","16","34","27","0","16","0","16","80","65","60","48","247","127","195","89","342","108","358","143","99","60","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011002400","Census Tract 24, Hillsborough County, New Hampshire"
"1400","199","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","38","71","33","38","0","11","52","46","160","90","209","110","86","49","658","163","97","58","67","69","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011002500","Census Tract 25, Hillsborough County, New Hampshire"
"1805","159","17","28","63","77","0","16","0","16","0","16","18","27","0","16","13","22","0","16","0","16","17","28","0","16","31","36","66","67","0","16","138","89","238","115","616","147","347","125","195","84","46","23","0","16","0","16","0","16","0","16","0","16","1400000US33011002600","Census Tract 26, Hillsborough County, New Hampshire"
"1272","108","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","15","9","13","11","18","32","27","32","39","40","33","125","64","292","79","342","111","272","61","62","46","13","19","0","11","14","20","9","14","9","13","1400000US33011002701","Census Tract 27.01, Hillsborough County, New Hampshire"
"1908","141","0","16","0","16","0","16","0","16","0","16","0","16","0","16","23","38","19","31","44","50","53","50","42","34","19","30","20","32","84","59","70","57","42","44","292","132","372","133","493","137","149","94","91","78","81","72","0","16","0","16","14","23","1400000US33011002702","Census Tract 27.02, Hillsborough County, New Hampshire"
"1673","152","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","65","96","0","16","0","16","96","60","117","67","169","81","200","90","337","106","324","139","267","111","42","31","35","39","21","35","0","16","0","16","0","16","1400000US33011002800","Census Tract 28, Hillsborough County, New Hampshire"
"2196","153","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","18","29","14","22","71","47","210","66","890","156","597","159","363","117","33","39","0","16","0","16","0","16","1400000US33011002901","Census Tract 29.01, Hillsborough County, New Hampshire"
"1909","140","0","16","0","16","0","16","21","33","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","21","30","46","40","0","16","85","65","182","95","503","149","355","137","281","104","352","104","46","44","17","28","0","16","0","16","1400000US33011002902","Census Tract 29.02, Hillsborough County, New Hampshire"
"2592","90","11","18","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","17","28","49","42","119","65","620","148","722","166","764","176","231","92","35","41","24","29","0","16","1400000US33011002903","Census Tract 29.03, Hillsborough County, New Hampshire"
"1720","116","0","16","0","16","0","16","0","16","7","12","9","14","0","16","0","16","0","16","0","16","0","16","0","16","0","16","26","32","70","83","31","25","33","30","394","113","538","111","550","110","62","45","0","16","0","16","0","16","0","16","0","16","1400000US33011010100","Census Tract 101, Hillsborough County, New Hampshire"
"1482","187","0","16","32","38","0","16","0","16","0","16","19","31","0","16","0","16","0","16","20","32","0","16","57","50","49","44","78","50","99","88","111","53","191","91","170","98","178","90","195","101","104","75","179","74","0","16","0","16","0","16","0","16","1400000US33011010200","Census Tract 102, Hillsborough County, New Hampshire"
"1666","87","0","11","0","11","0","11","8","12","0","11","0","11","10","16","0","11","9","13","0","11","0","11","0","11","0","11","15","16","17","20","96","43","131","48","298","84","342","84","517","90","163","49","51","35","9","14","0","11","0","11","0","11","1400000US33011010301","Census Tract 103.01, Hillsborough County, New Hampshire"
"1225","114","0","11","0","11","0","11","10","16","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","10","21","20","39","39","330","99","308","85","466","130","39","37","0","11","0","11","0","11","0","11","6","11","1400000US33011010302","Census Tract 103.02, Hillsborough County, New Hampshire"
"1337","133","0","16","0","16","0","16","52","54","0","16","0","16","0","16","0","16","10","18","0","16","0","16","0","16","0","16","0","16","0","16","31","34","55","45","309","111","277","88","369","143","148","76","86","62","0","16","0","16","0","16","0","16","1400000US33011010400","Census Tract 104, Hillsborough County, New Hampshire"
"326","107","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","11","18","20","28","32","27","31","30","84","54","67","48","65","52","7","11","9","14","0","11","0","11","0","11","0","11","1400000US33011010500","Census Tract 105, Hillsborough County, New Hampshire"
"534","192","0","16","11","20","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","11","19","62","92","45","53","121","94","117","89","139","80","28","36","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011010600","Census Tract 106, Hillsborough County, New Hampshire"
"123","41","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","14","20","19","24","0","11","29","26","15","12","22","18","20","25","0","11","0","11","4","8","0","11","0","11","0","11","0","11","1400000US33011010700","Census Tract 107, Hillsborough County, New Hampshire"
"501","149","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","13","22","0","16","0","16","37","36","49","47","89","54","154","82","102","77","57","68","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011010800","Census Tract 108, Hillsborough County, New Hampshire"
"1302","190","15","24","0","16","0","16","0","16","14","23","0","16","0","16","0","16","0","16","0","16","0","16","0","16","52","62","60","49","0","16","107","63","200","104","398","162","273","129","126","68","29","34","13","23","0","16","0","16","0","16","15","24","1400000US33011010900","Census Tract 109, Hillsborough County, New Hampshire"
"1480","124","0","11","0","11","0","11","0","11","8","12","9","16","11","16","0","11","0","11","0","11","0","11","0","11","0","11","11","12","18","31","46","37","40","32","450","123","454","106","287","84","114","80","17","14","6","12","9","14","0","11","0","11","1400000US33011011000","Census Tract 110, Hillsborough County, New Hampshire"
"274","76","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","14","0","11","24","22","18","21","8","12","103","52","49","35","31","30","18","22","13","22","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011011101","Census Tract 111.01, Hillsborough County, New Hampshire"
"280","62","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","10","57","37","65","41","67","38","16","17","11","16","10","16","48","26","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011011102","Census Tract 111.02, Hillsborough County, New Hampshire"
"2097","130","0","16","0","16","16","24","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","44","39","331","128","313","140","773","142","381","100","207","87","32","35","0","16","0","16","0","16","1400000US33011011200","Census Tract 112, Hillsborough County, New Hampshire"
"1413","68","9","13","0","11","0","11","9","14","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","38","46","0","11","37","35","27","24","308","93","586","100","363","78","28","29","0","11","8","12","0","11","0","11","0","11","1400000US33011011300","Census Tract 113, Hillsborough County, New Hampshire"
"1899","146","15","24","0","16","0","16","0","16","0","16","15","23","16","26","0","16","0","16","18","29","22","36","15","25","0","16","113","65","82","60","29","35","110","90","291","137","332","134","344","119","245","96","210","115","42","33","0","16","0","16","0","16","1400000US33011011401","Census Tract 114.01, Hillsborough County, New Hampshire"
"1381","100","0","11","0","11","0","11","11","16","0","11","0","11","0","11","0","11","12","18","0","11","9","14","0","11","0","11","0","11","0","11","9","14","23","25","309","76","328","92","394","94","202","80","68","40","0","11","5","9","11","16","0","11","1400000US33011011402","Census Tract 114.02, Hillsborough County, New Hampshire"
"988","55","0","11","0","11","21","25","20","32","0","11","15","17","7","12","65","41","69","50","59","36","87","62","44","24","15","17","56","37","78","42","52","37","38","24","145","52","93","50","85","41","26","19","8","11","5","9","0","11","0","11","0","11","1400000US33011011500","Census Tract 115, Hillsborough County, New Hampshire"
"2810","170","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","22","36","0","16","0","16","99","106","132","67","379","129","687","158","1048","197","286","141","141","72","16","26","0","16","0","16","0","16","1400000US33011012100","Census Tract 121, Hillsborough County, New Hampshire"
"2223","208","43","41","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","17","29","0","16","67","71","166","95","145","77","106","60","123","72","601","192","485","152","470","151","0","16","0","16","0","16","0","16","0","16","0","16","1400000US33011012200","Census Tract 122, Hillsborough County, New Hampshire"
"2722","205","16","27","0","16","20","31","0","16","0","16","0","16","31","35","0","16","0","16","14","23","25","29","0","16","0","16","28","31","14","24","29","33","45","37","303","112","569","177","906","192","463","163","202","142","22","35","0","16","21","33","14","22","1400000US33011012300","Census Tract 123, Hillsborough County, New Hampshire"
"2754","148","0","16","0","16","0","16","5","11","0","16","15","24","0","16","0","16","14","20","18","27","18","30","0","16","0","16","0","16","52","47","44","42","33","35","299","108","633","168","1225","193","292","117","106","56","0","16","0","16","0","16","0","16","1400000US33011013100","Census Tract 131, Hillsborough County, New Hampshire"
