"B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier","id","Geographic Area Name"
"3420","171","51","52","60","45","502","138","306","96","692","146","353","110","360","112","284","105","152","82","660","133","1400000US33009961200","Census Tract 9612, Grafton County, New Hampshire"
"2013","63","16","9","34","23","397","72","266","52","420","75","315","82","99","32","84","30","21","14","361","62","1400000US33009961300","Census Tract 9613, Grafton County, New Hampshire"
"1936","180","31","33","31","49","397","132","239","112","236","109","281","126","120","69","74","68","30","41","497","169","1400000US33009961400","Census Tract 9614, Grafton County, New Hampshire"
"2725","250","38","38","70","80","336","132","210","125","560","164","321","145","99","93","96","64","161","119","834","194","1400000US33009961500","Census Tract 9615, Grafton County, New Hampshire"
"1174","106","10","16","17","19","177","86","150","70","324","106","218","85","61","38","42","55","18","22","157","66","1400000US33009961601","Census Tract 9616.01, Grafton County, New Hampshire"
"2299","186","37","40","16","30","92","64","300","114","319","127","202","109","290","143","431","155","110","105","502","147","1400000US33009961602","Census Tract 9616.02, Grafton County, New Hampshire"
"3975","220","59","42","247","117","592","137","423","142","786","192","522","159","128","90","275","132","71","44","872","202","1400000US33009961700","Census Tract 9617, Grafton County, New Hampshire"
"2622","169","0","16","68","104","133","84","248","118","353","109","329","121","345","106","51","59","108","68","987","236","1400000US33009961800","Census Tract 9618, Grafton County, New Hampshire"
"1324","34","0","11","0","11","110","55","81","38","206","84","92","45","63","40","90","43","74","54","608","102","1400000US33011000101","Census Tract 1.01, Hillsborough County, New Hampshire"
"1987","80","19","16","8","14","61","50","196","60","401","112","466","124","187","70","500","100","68","39","81","41","1400000US33011000102","Census Tract 1.02, Hillsborough County, New Hampshire"
"981","47","7","11","0","11","46","31","13","11","87","53","69","38","66","35","253","71","190","60","250","70","1400000US33011000202","Census Tract 2.02, Hillsborough County, New Hampshire"
"1930","82","36","26","51","34","206","69","467","133","829","140","194","74","64","42","9","14","0","11","74","60","1400000US33011000203","Census Tract 2.03, Hillsborough County, New Hampshire"
"2592","113","111","79","74","56","351","111","472","145","669","191","560","173","189","101","57","47","17","27","92","59","1400000US33011000204","Census Tract 2.04, Hillsborough County, New Hampshire"
"1407","54","6","10","0","11","8","14","0","11","82","60","99","66","74","49","120","53","85","48","933","103","1400000US33011000300","Census Tract 3, Hillsborough County, New Hampshire"
"1195","70","0","11","6","9","0","11","45","30","96","50","145","68","128","71","88","49","105","65","582","112","1400000US33011000600","Census Tract 6, Hillsborough County, New Hampshire"
"1374","36","26","38","0","11","26","26","18","20","24","21","134","66","55","44","314","123","109","49","668","120","1400000US33011000700","Census Tract 7, Hillsborough County, New Hampshire"
"972","45","0","11","0","11","10","12","0","11","36","28","25","17","58","46","16","15","32","23","795","71","1400000US33011000800","Census Tract 8, Hillsborough County, New Hampshire"
"1548","36","0","11","0","11","120","72","112","50","646","126","191","75","89","50","185","57","20","25","185","108","1400000US33011000901","Census Tract 9.01, Hillsborough County, New Hampshire"
"2428","72","0","16","25","41","318","161","654","159","1100","202","127","63","70","89","34","38","18","29","82","81","1400000US33011000902","Census Tract 9.02, Hillsborough County, New Hampshire"
"2555","56","108","67","43","40","554","154","442","121","572","169","342","140","125","98","134","72","72","50","163","86","1400000US33011001000","Census Tract 10, Hillsborough County, New Hampshire"
"2169","80","0","16","0","16","50","44","95","84","336","121","201","99","406","164","397","163","287","126","397","155","1400000US33011001100","Census Tract 11, Hillsborough County, New Hampshire"
"813","48","0","11","0","11","101","46","16","17","22","20","39","23","22","20","76","28","43","24","494","65","1400000US33011001200","Census Tract 12, Hillsborough County, New Hampshire"
"1526","65","0","11","0","11","0","11","30","27","63","43","145","71","67","51","98","52","140","67","983","126","1400000US33011001300","Census Tract 13, Hillsborough County, New Hampshire"
"1105","45","2","4","0","11","51","41","12","18","71","63","108","51","147","59","51","37","156","78","507","107","1400000US33011001400","Census Tract 14, Hillsborough County, New Hampshire"
"1136","49","0","11","0","11","24","25","20","20","14","11","67","39","39","34","33","27","141","48","798","73","1400000US33011001500","Census Tract 15, Hillsborough County, New Hampshire"
"1612","105","0","11","33","33","69","39","27","27","19","23","70","45","124","60","74","60","87","64","1109","128","1400000US33011001600","Census Tract 16, Hillsborough County, New Hampshire"
"1075","50","0","11","7","13","14","23","80","51","117","62","83","48","32","24","76","54","79","52","587","114","1400000US33011001700","Census Tract 17, Hillsborough County, New Hampshire"
"2464","99","14","25","44","35","50","61","107","85","220","137","185","116","213","119","322","130","312","178","997","201","1400000US33011001800","Census Tract 18, Hillsborough County, New Hampshire"
"1331","55","30","28","13","21","143","76","23","24","113","64","46","41","100","78","134","82","55","58","674","137","1400000US33011001900","Census Tract 19, Hillsborough County, New Hampshire"
"1033","52","0","11","28","25","41","39","67","44","199","58","79","51","72","45","88","52","0","11","459","99","1400000US33011002000","Census Tract 20, Hillsborough County, New Hampshire"
"2216","100","10","14","18","22","32","28","92","46","125","38","138","74","85","61","129","62","122","55","1465","145","1400000US33011002100","Census Tract 21, Hillsborough County, New Hampshire"
"1529","53","0","11","8","12","319","106","21","27","64","51","33","26","106","51","249","93","152","72","577","127","1400000US33011002200","Census Tract 22, Hillsborough County, New Hampshire"
"1676","81","17","20","0","11","102","46","188","98","245","82","98","47","226","81","270","79","118","70","412","104","1400000US33011002300","Census Tract 23, Hillsborough County, New Hampshire"
"3070","96","69","57","84","68","102","84","137","77","395","148","753","186","366","147","452","167","170","125","542","161","1400000US33011002400","Census Tract 24, Hillsborough County, New Hampshire"
"2287","77","0","11","20","33","63","52","102","56","422","162","242","134","373","135","526","162","276","139","263","122","1400000US33011002500","Census Tract 25, Hillsborough County, New Hampshire"
"2202","57","11","17","0","16","152","70","464","139","449","136","307","119","313","124","269","101","63","50","174","84","1400000US33011002600","Census Tract 26, Hillsborough County, New Hampshire"
"1470","68","0","11","9","14","52","33","164","66","272","72","353","119","88","39","141","81","41","33","350","78","1400000US33011002701","Census Tract 27.01, Hillsborough County, New Hampshire"
"2376","109","0","16","45","46","344","111","272","100","657","171","186","103","206","100","123","79","131","76","412","159","1400000US33011002702","Census Tract 27.02, Hillsborough County, New Hampshire"
"2487","111","16","26","46","47","149","84","195","95","543","146","480","171","123","71","455","154","178","90","302","110","1400000US33011002800","Census Tract 28, Hillsborough County, New Hampshire"
"3076","126","72","44","85","49","740","145","717","164","412","134","513","142","267","114","73","75","44","41","153","105","1400000US33011002901","Census Tract 29.01, Hillsborough County, New Hampshire"
"2373","120","144","82","49","76","149","67","472","112","488","139","271","108","240","114","275","101","92","67","193","94","1400000US33011002902","Census Tract 29.02, Hillsborough County, New Hampshire"
"2607","87","0","16","59","59","378","118","797","174","778","163","371","117","112","58","46","33","14","23","52","43","1400000US33011002903","Census Tract 29.03, Hillsborough County, New Hampshire"
"2116","57","117","68","22","24","56","40","181","97","532","132","416","117","446","105","212","62","57","43","77","47","1400000US33011010100","Census Tract 101, Hillsborough County, New Hampshire"
"3263","85","50","47","53","47","251","95","189","96","1640","192","868","194","148","94","50","50","0","16","14","23","1400000US33011010200","Census Tract 102, Hillsborough County, New Hampshire"
"1973","38","0","11","0","11","151","67","185","69","538","92","510","88","442","88","103","52","18","21","26","23","1400000US33011010301","Census Tract 103.01, Hillsborough County, New Hampshire"
"1842","85","0","11","51","54","55","43","96","56","413","103","591","148","435","112","145","54","25","22","31","41","1400000US33011010302","Census Tract 103.02, Hillsborough County, New Hampshire"
"2118","55","0","16","0","16","15","25","55","54","159","83","249","139","176","85","394","140","111","86","959","214","1400000US33011010400","Census Tract 104, Hillsborough County, New Hampshire"
"1988","89","9","14","0","11","84","53","18","20","152","80","38","29","56","59","124","63","44","33","1463","130","1400000US33011010500","Census Tract 105, Hillsborough County, New Hampshire"
"2664","79","0","16","18","30","191","86","78","74","101","83","78","75","148","95","501","195","283","128","1266","233","1400000US33011010600","Census Tract 106, Hillsborough County, New Hampshire"
"932","56","0","11","0","11","0","11","19","22","88","41","272","71","5","8","40","26","45","27","463","74","1400000US33011010700","Census Tract 107, Hillsborough County, New Hampshire"
"3331","111","0","16","0","16","117","62","115","94","446","174","195","119","178","124","138","82","281","131","1861","257","1400000US33011010800","Census Tract 108, Hillsborough County, New Hampshire"
"2345","108","0","16","0","16","72","74","83","58","353","175","199","85","350","121","614","196","159","89","515","170","1400000US33011010900","Census Tract 109, Hillsborough County, New Hampshire"
"1781","66","0","11","6","11","68","41","75","46","175","84","223","76","344","78","334","100","244","95","312","91","1400000US33011011000","Census Tract 110, Hillsborough County, New Hampshire"
