"B25096_001E","B25096_001M","B25096_002E","B25096_002M","B25096_003E","B25096_003M","B25096_004E","B25096_004M","B25096_005E","B25096_005M","B25096_006E","B25096_006M","B25096_007E","B25096_007M","B25096_008E","B25096_008M","B25096_009E","B25096_009M","B25096_010E","B25096_010M","B25096_011E","B25096_011M","B25096_012E","B25096_012M","B25096_013E","B25096_013M","B25096_014E","B25096_014M","B25096_015E","B25096_015M","B25096_016E","B25096_016M","B25096_017E","B25096_017M","B25096_018E","B25096_018M","B25096_019E","B25096_019M","B25096_020E","B25096_020M","B25096_021E","B25096_021M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!With a mortgage:","Margin of Error!!Total:!!With a mortgage:","Estimate!!Total:!!With a mortgage:!!Less than $50,000","Margin of Error!!Total:!!With a mortgage:!!Less than $50,000","Estimate!!Total:!!With a mortgage:!!$50,000 to $99,999","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $99,999","Estimate!!Total:!!With a mortgage:!!$100,000 to $149,999","Margin of Error!!Total:!!With a mortgage:!!$100,000 to $149,999","Estimate!!Total:!!With a mortgage:!!$150,000 to $199,999","Margin of Error!!Total:!!With a mortgage:!!$150,000 to $199,999","Estimate!!Total:!!With a mortgage:!!$200,000 to $299,999","Margin of Error!!Total:!!With a mortgage:!!$200,000 to $299,999","Estimate!!Total:!!With a mortgage:!!$300,000 to $499,999","Margin of Error!!Total:!!With a mortgage:!!$300,000 to $499,999","Estimate!!Total:!!With a mortgage:!!$500,000 to $749,999","Margin of Error!!Total:!!With a mortgage:!!$500,000 to $749,999","Estimate!!Total:!!With a mortgage:!!$750,000 to $999,999","Margin of Error!!Total:!!With a mortgage:!!$750,000 to $999,999","Estimate!!Total:!!With a mortgage:!!$1,000,000 or more","Margin of Error!!Total:!!With a mortgage:!!$1,000,000 or more","Estimate!!Total:!!Not mortgaged:","Margin of Error!!Total:!!Not mortgaged:","Estimate!!Total:!!Not mortgaged:!!Less than $50,000","Margin of Error!!Total:!!Not mortgaged:!!Less than $50,000","Estimate!!Total:!!Not mortgaged:!!$50,000 to $99,999","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $99,999","Estimate!!Total:!!Not mortgaged:!!$100,000 to $149,999","Margin of Error!!Total:!!Not mortgaged:!!$100,000 to $149,999","Estimate!!Total:!!Not mortgaged:!!$150,000 to $199,999","Margin of Error!!Total:!!Not mortgaged:!!$150,000 to $199,999","Estimate!!Total:!!Not mortgaged:!!$200,000 to $299,999","Margin of Error!!Total:!!Not mortgaged:!!$200,000 to $299,999","Estimate!!Total:!!Not mortgaged:!!$300,000 to $499,999","Margin of Error!!Total:!!Not mortgaged:!!$300,000 to $499,999","Estimate!!Total:!!Not mortgaged:!!$500,000 to $749,999","Margin of Error!!Total:!!Not mortgaged:!!$500,000 to $749,999","Estimate!!Total:!!Not mortgaged:!!$750,000 to $999,999","Margin of Error!!Total:!!Not mortgaged:!!$750,000 to $999,999","Estimate!!Total:!!Not mortgaged:!!$1,000,000 or more","Margin of Error!!Total:!!Not mortgaged:!!$1,000,000 or more","id","Geographic Area Name"
"1453","121","1010","138","25","28","0","11","23","25","34","32","326","76","522","111","69","43","0","11","11","16","443","115","13","19","6","9","83","65","36","32","163","60","90","43","42","47","10","15","0","11","1400000US33015056000","Census Tract 560, Rockingham County, New Hampshire"
"1460","120","1010","103","24","19","9","13","58","39","126","61","437","88","341","104","15","23","0","11","0","11","450","128","8","13","87","58","53","35","89","54","184","73","29","31","0","11","0","11","0","11","1400000US33015057000","Census Tract 570, Rockingham County, New Hampshire"
"1767","119","1241","152","0","16","0","16","71","70","24","24","498","122","602","123","46","37","0","16","0","16","526","130","9","14","8","12","38","59","21","22","263","92","121","58","29","27","37","55","0","16","1400000US33015058000","Census Tract 580, Rockingham County, New Hampshire"
"2288","170","1666","198","41","39","17","26","57","55","167","92","520","160","798","165","16","25","0","16","50","41","622","172","195","132","48","42","30","34","15","25","145","74","116","86","0","16","13","20","60","70","1400000US33015059000","Census Tract 590, Rockingham County, New Hampshire"
"1400","110","1035","102","7","11","0","11","0","11","33","31","125","54","611","102","244","73","15","16","0","11","365","87","0","11","11","19","38","32","5","9","106","49","160","60","45","32","0","11","0","11","1400000US33015060000","Census Tract 600, Rockingham County, New Hampshire"
"1867","148","1375","143","19","31","45","40","71","69","144","91","342","99","443","128","311","105","0","16","0","16","492","143","0","16","0","16","18","29","102","66","82","63","134","70","72","67","84","50","0","16","1400000US33015061001","Census Tract 610.01, Rockingham County, New Hampshire"
"849","65","576","66","14","14","4","5","5","7","15","12","129","47","370","57","39","22","0","11","0","11","273","51","0","11","0","11","0","11","0","11","112","36","127","35","34","18","0","11","0","11","1400000US33015062000","Census Tract 620, Rockingham County, New Hampshire"
"1024","59","688","59","9","8","2","5","3","4","18","17","103","34","361","55","149","29","26","13","17","16","336","49","2","3","5","6","2","3","18","16","33","13","180","40","71","19","17","9","8","6","1400000US33015062500","Census Tract 625, Rockingham County, New Hampshire"
"845","128","489","109","0","11","9","14","10","17","9","14","245","98","205","79","11","16","0","11","0","11","356","99","92","72","56","31","46","45","0","11","22","25","140","70","0","11","0","11","0","11","1400000US33015063001","Census Tract 630.01, Rockingham County, New Hampshire"
"1755","158","878","144","11","18","58","71","8","16","117","73","371","144","164","83","66","47","69","50","14","24","877","176","14","21","147","106","86","55","124","73","99","58","299","128","80","51","17","27","11","19","1400000US33015063002","Census Tract 630.02, Rockingham County, New Hampshire"
"828","64","596","67","0","11","0","11","5","7","0","11","22","17","320","61","190","61","38","23","21","17","232","54","0","11","0","11","0","11","0","11","17","15","85","34","70","30","48","33","12","12","1400000US33015064000","Census Tract 640, Rockingham County, New Hampshire"
"2834","181","1813","212","38","43","0","16","77","60","46","60","314","116","1070","207","228","92","24","35","16","25","1021","198","14","22","38","28","0","16","26","30","229","93","486","139","198","118","30","33","0","16","1400000US33015065001","Census Tract 650.01, Rockingham County, New Hampshire"
"876","96","587","113","8","13","0","11","11","17","10","16","114","44","341","101","87","45","9","14","7","12","289","84","29","26","11","17","13","20","17","19","67","35","88","49","56","47","8","12","0","11","1400000US33015065005","Census Tract 650.05, Rockingham County, New Hampshire"
