"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"0.4632","0.0446","1400000US33011000101","Census Tract 1.01, Hillsborough County, New Hampshire"
"0.4776","0.0519","1400000US33011000102","Census Tract 1.02, Hillsborough County, New Hampshire"
"0.4503","0.0364","1400000US33011000202","Census Tract 2.02, Hillsborough County, New Hampshire"
"0.3939","0.0424","1400000US33011000203","Census Tract 2.03, Hillsborough County, New Hampshire"
"0.3782","0.0354","1400000US33011000204","Census Tract 2.04, Hillsborough County, New Hampshire"
"0.4469","0.0649","1400000US33011000300","Census Tract 3, Hillsborough County, New Hampshire"
"0.4450","0.0588","1400000US33011000600","Census Tract 6, Hillsborough County, New Hampshire"
"0.3504","0.0513","1400000US33011000700","Census Tract 7, Hillsborough County, New Hampshire"
"0.4206","0.0416","1400000US33011000800","Census Tract 8, Hillsborough County, New Hampshire"
"0.4124","0.0713","1400000US33011000901","Census Tract 9.01, Hillsborough County, New Hampshire"
"0.3671","0.0423","1400000US33011000902","Census Tract 9.02, Hillsborough County, New Hampshire"
"0.3531","0.0330","1400000US33011001000","Census Tract 10, Hillsborough County, New Hampshire"
"0.3176","0.0428","1400000US33011001100","Census Tract 11, Hillsborough County, New Hampshire"
"0.3554","0.0335","1400000US33011001200","Census Tract 12, Hillsborough County, New Hampshire"
"0.4201","0.0410","1400000US33011001300","Census Tract 13, Hillsborough County, New Hampshire"
"0.4577","0.0377","1400000US33011001400","Census Tract 14, Hillsborough County, New Hampshire"
"0.3847","0.0380","1400000US33011001500","Census Tract 15, Hillsborough County, New Hampshire"
"0.4164","0.0718","1400000US33011001600","Census Tract 16, Hillsborough County, New Hampshire"
"0.4981","0.1005","1400000US33011001700","Census Tract 17, Hillsborough County, New Hampshire"
"0.3828","0.0435","1400000US33011001800","Census Tract 18, Hillsborough County, New Hampshire"
"0.3487","0.0462","1400000US33011001900","Census Tract 19, Hillsborough County, New Hampshire"
"0.5028","0.0861","1400000US33011002000","Census Tract 20, Hillsborough County, New Hampshire"
"0.3758","0.0298","1400000US33011002100","Census Tract 21, Hillsborough County, New Hampshire"
"0.3786","0.0340","1400000US33011002200","Census Tract 22, Hillsborough County, New Hampshire"
