"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree","id","Geographic Area Name"
"3891","188","14","22","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","13","20","53","64","173","111","24","42","736","217","100","86","404","152","475","171","573","176","721","236","423","157","122","103","60","64","1400000US33001966500","Census Tract 9665, Belknap County, New Hampshire"
"3153","269","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","31","47","37","41","30","35","83","54","12","17","804","189","16","16","159","93","448","147","374","155","608","191","452","156","65","57","34","27","1400000US33003955100","Census Tract 9551, Carroll County, New Hampshire"
"4838","391","17","35","0","16","0","16","0","16","0","16","3","7","0","16","0","16","2","4","0","16","26","25","13","15","23","25","52","63","6","6","921","246","79","87","314","126","909","257","451","182","1429","362","468","205","56","52","69","86","1400000US33003955300","Census Tract 9553, Carroll County, New Hampshire"
"2954","293","9","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","19","64","72","21","31","78","65","0","11","798","195","210","109","178","88","490","145","312","115","549","138","172","87","0","11","60","54","1400000US33003955400","Census Tract 9554, Carroll County, New Hampshire"
"2154","121","0","11","0","11","0","11","0","11","0","11","0","11","0","11","24","30","0","11","0","11","5","6","0","11","45","41","7","9","18","22","572","118","112","63","197","71","291","90","161","67","445","114","253","66","19","14","5","8","1400000US33003955500","Census Tract 9555, Carroll County, New Hampshire"
"4081","244","5","6","0","16","0","16","0","16","0","16","0","16","0","16","0","16","44","60","4","6","53","73","12","18","55","77","66","62","63","69","997","225","198","115","232","93","457","171","448","115","898","181","425","153","83","42","41","24","1400000US33003955600","Census Tract 9556, Carroll County, New Hampshire"
"2202","175","18","22","0","11","0","11","0","11","0","11","0","11","0","11","0","11","4","6","0","11","15","10","17","16","31","18","24","15","8","8","634","106","122","37","108","44","254","60","274","60","376","76","281","71","20","11","16","12","1400000US33003955800","Census Tract 9558, Carroll County, New Hampshire"
"3372","174","37","34","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","25","43","21","23","35","57","109","76","85","64","94","65","1102","198","326","142","223","105","380","114","263","101","481","129","168","76","19","28","4","10","1400000US33003955900","Census Tract 9559, Carroll County, New Hampshire"
"4439","213","14","23","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","18","28","26","31","45","51","40","41","83","72","1196","289","241","98","355","134","608","204","790","321","743","169","214","122","64","75","2","3","1400000US33003956000","Census Tract 9560, Carroll County, New Hampshire"
"5198","253","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","10","20","1","3","187","183","0","16","91","113","1336","369","207","129","169","142","578","210","482","209","1061","312","797","256","253","212","26","43","1400000US33003956100","Census Tract 9561, Carroll County, New Hampshire"
