"B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree","id","Geographic Area Name"
"1659","140","28","27","0","11","0","11","0","11","0","11","0","11","19","23","0","11","0","11","9","14","50","42","28","34","79","62","8","9","5","7","537","122","118","58","106","50","172","61","146","70","250","80","87","41","17","15","0","11","1400000US33011000202","Census Tract 2.02, Hillsborough County, New Hampshire"
"2625","279","0","11","0","11","0","11","0","11","0","11","0","11","37","56","0","11","0","11","10","16","14","18","12","18","65","62","9","13","38","32","683","181","63","35","196","73","362","144","225","100","628","185","275","134","8","13","0","11","1400000US33011000203","Census Tract 2.03, Hillsborough County, New Hampshire"
"3899","412","36","37","0","16","0","16","0","16","7","14","0","16","0","16","0","16","0","16","0","16","16","21","40","56","57","51","0","16","71","56","891","268","256","130","185","101","370","134","381","161","1032","285","416","141","65","67","76","66","1400000US33011000204","Census Tract 2.04, Hillsborough County, New Hampshire"
"1876","160","42","35","0","11","6","10","0","11","0","11","0","11","0","11","0","11","11","17","21","23","21","22","25","40","27","29","15","17","60","66","727","143","138","81","156","94","248","99","110","69","187","82","74","53","0","11","8","13","1400000US33011000300","Census Tract 3, Hillsborough County, New Hampshire"
"1641","208","8","12","0","11","0","11","0","11","37","22","0","11","14","20","0","11","0","11","0","11","130","73","5","12","69","44","0","11","15","19","435","126","93","69","143","105","155","75","76","51","293","100","152","65","0","11","16","20","1400000US33011000600","Census Tract 6, Hillsborough County, New Hampshire"
"2156","163","11","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","2","6","4","9","14","17","0","11","31","35","7","11","245","131","112","59","83","48","289","119","143","70","752","138","319","97","103","58","41","34","1400000US33011000700","Census Tract 7, Hillsborough County, New Hampshire"
"1625","191","19","23","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","11","12","68","46","36","32","58","39","50","48","11","12","330","103","56","47","85","36","285","92","222","84","263","83","117","53","14","10","0","11","1400000US33011000800","Census Tract 8, Hillsborough County, New Hampshire"
"2472","253","7","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","12","60","70","8","12","117","89","7","11","602","191","113","64","134","66","246","93","175","78","711","136","232","76","40","47","12","18","1400000US33011000901","Census Tract 9.01, Hillsborough County, New Hampshire"
"4119","360","40","59","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","35","47","0","16","59","55","75","74","51","36","752","237","111","67","158","88","661","267","433","169","1031","300","542","181","141","92","30","38","1400000US33011000902","Census Tract 9.02, Hillsborough County, New Hampshire"
"4559","303","36","29","0","16","0","16","0","16","15","26","0","16","0","16","0","16","0","16","6","14","17","27","39","44","46","64","0","16","46","47","976","246","115","85","325","122","844","233","516","187","1123","218","393","134","35","38","27","41","1400000US33011001000","Census Tract 10, Hillsborough County, New Hampshire"
"3920","317","39","41","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","44","52","34","38","34","37","40","39","62","63","1121","245","285","163","177","86","439","166","457","183","878","258","212","110","98","85","0","16","1400000US33011001100","Census Tract 11, Hillsborough County, New Hampshire"
"1420","163","4","7","0","11","0","11","0","11","0","11","0","11","0","11","47","42","0","11","14","18","28","34","27","25","36","43","15","21","26","27","356","102","120","82","99","51","133","63","148","47","259","76","85","40","15","20","8","13","1400000US33011001200","Census Tract 12, Hillsborough County, New Hampshire"
"1967","190","64","60","0","11","0","11","0","11","0","11","20","32","6","12","31","43","11","17","0","11","20","21","61","92","121","70","51","47","17","17","484","144","195","99","95","49","311","141","169","64","255","100","47","29","9","12","0","11","1400000US33011001300","Census Tract 13, Hillsborough County, New Hampshire"
"1514","163","67","42","0","11","0","11","0","11","13","21","0","11","11","16","0","11","45","43","17","23","65","45","40","42","51","50","91","68","0","11","446","132","83","38","96","44","209","76","104","62","152","67","22","24","0","11","2","4","1400000US33011001400","Census Tract 14, Hillsborough County, New Hampshire"
"1679","184","51","40","0","11","0","11","0","11","0","11","18","24","0","11","19","24","32","37","18","18","79","38","80","41","81","63","97","62","22","20","414","94","110","45","141","66","200","69","115","49","157","60","34","33","11","17","0","11","1400000US33011001500","Census Tract 15, Hillsborough County, New Hampshire"
"2697","280","91","93","0","11","0","11","0","11","0","11","17","29","0","11","25","39","0","11","19","22","52","52","151","73","52","42","115","72","62","50","902","235","219","130","138","69","266","102","147","70","327","120","114","78","0","11","0","11","1400000US33011001600","Census Tract 16, Hillsborough County, New Hampshire"
"1389","147","22","23","0","11","0","11","0","11","0","11","6","9","0","11","0","11","0","11","7","10","76","59","82","69","39","30","25","37","30","33","339","96","128","63","121","50","175","67","113","77","176","58","50","46","0","11","0","11","1400000US33011001700","Census Tract 17, Hillsborough County, New Hampshire"
"4163","335","35","42","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","70","107","60","80","40","40","98","128","117","102","114","103","1172","242","194","110","155","81","718","200","447","200","711","226","206","129","13","21","13","20","1400000US33011001800","Census Tract 18, Hillsborough County, New Hampshire"
"2561","361","98","109","5","11","0","11","0","11","0","11","0","11","0","11","0","11","179","188","6","12","52","45","67","49","186","133","68","51","58","55","681","204","215","96","100","73","263","124","164","79","315","142","42","40","25","25","37","53","1400000US33011001900","Census Tract 19, Hillsborough County, New Hampshire"
"1491","182","52","49","0","11","0","11","0","11","0","11","0","11","0","11","0","11","23","29","0","11","74","45","70","39","35","35","73","46","22","25","489","124","84","50","82","37","147","50","134","66","175","90","20","18","4","6","7","11","1400000US33011002000","Census Tract 20, Hillsborough County, New Hampshire"
"3434","292","128","91","0","16","0","16","0","16","0","16","0","16","0","16","32","41","0","16","24","30","26","43","91","62","64","47","188","109","86","66","820","175","183","90","165","72","555","183","322","86","541","133","130","77","64","56","15","17","1400000US33011002100","Census Tract 21, Hillsborough County, New Hampshire"
"2304","188","15","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","43","45","72","68","10","15","8","14","87","47","500","152","100","69","187","102","345","130","130","66","602","178","185","83","8","13","12","14","1400000US33011002200","Census Tract 22, Hillsborough County, New Hampshire"
"2717","219","25","36","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","15","22","24","53","56","13","19","88","74","59","54","682","174","114","61","253","100","382","111","282","91","510","123","135","65","56","45","33","37","1400000US33011002300","Census Tract 23, Hillsborough County, New Hampshire"
"5037","293","188","131","0","16","0","16","0","16","0","16","51","79","39","68","14","24","81","101","59","48","134","72","81","79","142","74","92","58","90","83","1377","292","252","197","480","142","360","139","406","154","802","206","290","119","64","65","35","38","1400000US33011002400","Census Tract 24, Hillsborough County, New Hampshire"
"3628","367","47","42","0","11","17","26","0","11","0","11","0","11","14","23","30","34","11","22","51","81","78","70","85","79","55","88","91","80","95","62","865","205","204","104","138","70","535","173","496","186","465","155","163","97","81","74","107","80","1400000US33011002500","Census Tract 25, Hillsborough County, New Hampshire"
"4025","185","30","37","0","16","0","16","11","20","0","16","0","16","16","24","0","16","0","16","0","16","21","24","49","52","52","63","17","28","102","85","1057","245","103","60","127","63","599","226","589","167","872","222","364","123","0","16","16","27","1400000US33011002600","Census Tract 26, Hillsborough County, New Hampshire"
"2588","179","9","16","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","37","36","25","25","12","18","32","49","582","157","82","47","227","85","359","97","303","93","680","143","163","59","60","49","17","21","1400000US33011002701","Census Tract 27.01, Hillsborough County, New Hampshire"
"4321","277","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","26","42","2","4","0","16","34","39","36","41","794","186","187","107","388","118","705","269","718","190","969","180","336","134","110","70","16","26","1400000US33011002702","Census Tract 27.02, Hillsborough County, New Hampshire"
"4845","317","71","85","15","24","0","16","0","16","0","16","0","16","0","16","0","16","32","37","32","35","103","78","127","110","70","52","50","46","125","82","1287","329","248","105","415","151","546","163","669","166","813","180","186","90","0","16","56","55","1400000US33011002800","Census Tract 28, Hillsborough County, New Hampshire"
"5474","296","11","18","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","56","67","37","37","34","49","16","25","17","24","734","198","42","48","167","68","485","145","519","197","1880","324","1021","231","242","101","213","103","1400000US33011002901","Census Tract 29.01, Hillsborough County, New Hampshire"
"4725","263","0","16","0","16","0","16","0","16","8","17","0","16","0","16","0","16","0","16","0","16","30","26","109","102","46","48","65","63","18","30","713","200","113","67","240","92","322","122","472","158","1647","266","661","221","144","81","137","96","1400000US33011002902","Census Tract 29.02, Hillsborough County, New Hampshire"
"5354","237","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","367","150","17","27","119","54","451","147","488","163","2218","237","1307","254","316","114","71","54","1400000US33011002903","Census Tract 29.03, Hillsborough County, New Hampshire"
"3884","208","0","16","0","16","0","16","0","16","0","16","0","16","0","16","14","22","0","16","0","16","30","30","61","50","34","25","31","32","56","59","836","197","189","108","200","87","481","147","355","143","892","168","571","139","42","48","92","65","1400000US33011010100","Census Tract 101, Hillsborough County, New Hampshire"
"5324","343","65","63","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","89","92","20","32","16","29","21","31","56","65","721","219","350","213","338","168","641","209","501","153","1721","279","624","180","107","94","54","60","1400000US33011010200","Census Tract 102, Hillsborough County, New Hampshire"
"3427","216","72","87","10","15","0","11","0","11","9","13","0","11","0","11","0","11","7","12","0","11","0","11","8","12","0","11","20","22","8","12","477","95","116","58","245","77","275","81","438","109","1104","195","498","109","97","54","43","36","1400000US33011010301","Census Tract 103.01, Hillsborough County, New Hampshire"
"3341","191","99","66","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","12","0","11","7","12","8","12","8","14","32","40","41","28","758","158","205","101","239","79","487","134","258","71","731","147","436","192","9","14","16","17","1400000US33011010302","Census Tract 103.02, Hillsborough County, New Hampshire"
"3452","227","17","30","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","13","21","0","16","0","16","38","42","24","30","611","163","149","100","288","144","422","200","309","145","793","192","609","184","127","71","52","52","1400000US33011010400","Census Tract 104, Hillsborough County, New Hampshire"
"2604","287","57","45","0","11","0","11","0","11","0","11","29","44","0","11","0","11","0","11","9","16","78","68","103","79","94","73","79","63","54","45","649","241","86","53","271","119","555","155","166","67","216","92","129","61","10","15","19","23","1400000US33011010500","Census Tract 105, Hillsborough County, New Hampshire"
"3817","311","12","21","0","16","0","16","0","16","41","54","33","40","0","16","0","16","0","16","76","77","19","32","110","90","58","51","89","75","53","55","1000","260","326","165","286","126","722","278","367","138","525","224","100","69","0","16","0","16","1400000US33011010600","Census Tract 106, Hillsborough County, New Hampshire"
"1251","118","5","8","0","11","0","11","13","20","13","20","22","27","0","11","15","25","14","22","32","36","33","34","45","28","38","26","28","32","38","36","245","69","121","44","96","49","150","116","98","41","152","59","75","35","18","25","0","11","1400000US33011010700","Census Tract 107, Hillsborough County, New Hampshire"
"5387","451","109","85","0","16","0","16","0","16","116","105","0","16","0","16","74","76","60","78","0","16","197","135","148","96","291","194","265","154","391","281","1464","334","335","176","546","200","610","202","216","106","352","184","200","133","13","21","0","16","1400000US33011010800","Census Tract 108, Hillsborough County, New Hampshire"
"4362","295","15","24","0","16","0","16","0","16","0","16","45","69","0","16","42","68","19","26","50","80","110","105","102","92","26","31","55","51","40","31","1436","318","265","116","250","117","473","167","557","181","666","198","195","97","16","25","0","16","1400000US33011010900","Census Tract 109, Hillsborough County, New Hampshire"
"3431","233","7","12","0","11","0","11","0","11","0","11","10","16","0","11","0","11","8","12","54","72","38","61","35","39","38","40","37","31","23","24","939","198","60","39","164","59","416","111","479","116","730","154","325","99","53","46","15","18","1400000US33011011000","Census Tract 110, Hillsborough County, New Hampshire"
"2680","215","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","14","0","11","0","11","11","17","8","12","18","20","9","14","527","188","95","70","89","90","258","90","329","108","663","148","513","160","14","16","137","83","1400000US33011011101","Census Tract 111.01, Hillsborough County, New Hampshire"
"2514","201","11","19","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","16","27","32","9","14","0","11","77","56","19","20","396","110","116","81","155","72","294","130","262","81","721","203","351","101","22","25","44","36","1400000US33011011102","Census Tract 111.02, Hillsborough County, New Hampshire"
"5188","261","17","27","0","16","0","16","0","16","0","16","0","16","0","16","21","26","0","16","0","16","14","22","17","20","41","52","23","32","30","36","368","144","31","36","122","65","669","202","566","162","1809","307","1254","259","80","49","126","77","1400000US33011011200","Census Tract 112, Hillsborough County, New Hampshire"
"3439","239","23","31","0","11","0","11","0","11","0","11","15","23","0","11","0","11","6","13","0","11","21","22","31","27","17","20","65","38","33","29","818","142","158","83","394","184","433","106","422","102","618","130","345","93","15","16","25","29","1400000US33011011300","Census Tract 113, Hillsborough County, New Hampshire"
"4126","237","18","27","0","16","0","16","0","16","0","16","0","16","0","16","0","16","16","26","0","16","0","16","65","50","0","16","32","36","83","58","800","231","212","110","370","139","313","123","334","139","1126","198","604","256","55","40","98","89","1400000US33011011401","Census Tract 114.01, Hillsborough County, New Hampshire"
"3553","172","22","25","0","11","0","11","0","11","0","11","14","25","0","11","0","11","0","11","0","11","6","10","17","18","70","83","17","18","15","18","1002","214","99","62","231","73","284","107","262","86","981","160","453","107","41","34","39","34","1400000US33011011402","Census Tract 114.02, Hillsborough County, New Hampshire"
"1916","106","30","29","0","11","0","11","0","11","0","11","0","11","7","12","0","11","0","11","0","11","21","35","15","21","20","18","78","45","61","35","605","123","154","62","78","37","176","64","202","74","333","99","109","64","21","20","6","10","1400000US33011011500","Census Tract 115, Hillsborough County, New Hampshire"
"6250","325","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","20","30","69","68","119","112","17","27","1387","360","201","112","283","129","809","222","783","198","1788","383","562","171","109","95","103","82","1400000US33011012100","Census Tract 121, Hillsborough County, New Hampshire"
"5430","295","20","30","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","82","85","18","28","54","43","154","132","17","29","1601","268","243","123","486","141","720","217","593","191","1095","309","297","108","50","41","0","16","1400000US33011012200","Census Tract 122, Hillsborough County, New Hampshire"
"6412","294","12","25","0","16","0","16","0","16","0","16","0","16","0","16","0","16","11","22","34","43","63","75","61","54","45","43","38","40","15","24","1567","308","211","114","402","138","601","184","859","215","1578","253","789","218","74","64","52","69","1400000US33011012300","Census Tract 123, Hillsborough County, New Hampshire"
"5836","222","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","15","24","0","16","29","33","85","85","83","68","80","74","1133","258","205","105","413","156","788","180","582","174","1802","257","573","162","30","34","18","27","1400000US33011013100","Census Tract 131, Hillsborough County, New Hampshire"
"4424","202","38","59","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1","2","18","29","91","111","102","94","34","40","948","240","79","62","403","141","590","207","412","159","1143","219","467","184","43","47","55","53","1400000US33011014100","Census Tract 141, Hillsborough County, New Hampshire"
"3973","169","8","12","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","30","33","0","16","23","24","737","180","76","51","195","77","410","170","429","133","1232","212","494","152","85","67","254","134","1400000US33011014201","Census Tract 142.01, Hillsborough County, New Hampshire"
"4276","188","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","18","27","15","24","16","25","0","16","60","69","17","27","819","201","109","82","382","133","404","148","482","170","1276","247","533","181","45","34","100","78","1400000US33011014202","Census Tract 142.02, Hillsborough County, New Hampshire"
"5653","204","33","53","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","31","41","19","30","40","57","1","12","48","47","1126","246","24","32","311","122","605","176","604","187","1825","334","850","257","52","40","84","57","1400000US33011014300","Census Tract 143, Hillsborough County, New Hampshire"
"3660","170","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","16","18","29","34","283","90","46","36","161","68","482","126","241","67","1367","156","861","147","98","44","76","47","1400000US33011015100","Census Tract 151, Hillsborough County, New Hampshire"
"4413","197","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","19","31","18","29","0","16","0","16","0","16","659","167","13","20","201","107","500","146","335","132","1624","274","874","203","155","91","15","23","1400000US33011015200","Census Tract 152, Hillsborough County, New Hampshire"
"2378","199","7","12","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","9","15","6","9","106","108","12","19","0","11","10","11","549","121","77","47","89","62","279","98","235","92","662","171","288","100","41","32","8","13","1400000US33011016100","Census Tract 161, Hillsborough County, New Hampshire"
"5126","355","15","23","0","16","0","16","0","16","0","16","17","26","0","16","11","18","13","21","3","6","99","119","71","54","101","74","104","71","79","72","932","211","442","183","383","151","579","291","600","167","1018","240","568","233","77","77","14","23","1400000US33011016201","Census Tract 162.01, Hillsborough County, New Hampshire"
"3573","223","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","12","18","14","21","20","22","47","28","37","29","894","154","129","66","242","107","428","121","428","110","873","157","363","101","24","23","62","43","1400000US33011016202","Census Tract 162.02, Hillsborough County, New Hampshire"
"5743","176","19","31","0","16","0","16","0","16","0","16","0","16","0","16","0","16","18","30","0","16","18","28","0","16","0","16","15","25","19","30","732","197","101","98","211","101","457","211","511","179","2066","269","1106","239","126","73","344","145","1400000US33011017100","Census Tract 171, Hillsborough County, New Hampshire"
"3532","116","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","7","11","17","27","59","46","74","57","449","139","131","63","173","83","358","90","300","93","1264","139","572","139","59","52","69","69","1400000US33011018000","Census Tract 180, Hillsborough County, New Hampshire"
"1594","206","5","7","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","18","17","36","25","28","24","97","62","28","20","398","171","133","59","92","41","219","66","203","65","261","101","55","39","21","18","0","11","1400000US33011018501","Census Tract 185.01, Hillsborough County, New Hampshire"
"1114","64","6","6","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","6","21","17","19","11","3","6","0","11","246","51","52","23","77","24","147","33","134","35","284","54","100","31","16","12","3","5","1400000US33011018502","Census Tract 185.02, Hillsborough County, New Hampshire"
"2956","150","55","45","11","16","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","16","1","4","24","27","32","29","13","20","809","196","140","94","98","55","296","140","310","105","769","147","314","104","45","51","29","26","1400000US33011019000","Census Tract 190, Hillsborough County, New Hampshire"
"1351","108","6","9","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","8","18","12","7","7","29","21","262","63","65","27","81","29","181","57","159","42","344","56","145","46","24","12","22","14","1400000US33011019501","Census Tract 195.01, Hillsborough County, New Hampshire"
"1829","73","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","16","14","0","11","34","34","9","10","23","17","290","67","81","51","84","33","267","81","121","41","591","82","258","63","15","19","40","21","1400000US33011019502","Census Tract 195.02, Hillsborough County, New Hampshire"
"3841","125","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","47","54","40","56","32","31","0","16","8","16","769","213","176","105","239","83","296","128","550","141","1137","159","473","121","48","38","26","29","1400000US33011020000","Census Tract 200, Hillsborough County, New Hampshire"
"5881","261","18","30","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","35","44","17","28","43","42","68","71","81","63","1330","276","177","85","392","137","799","252","744","219","1414","307","681","209","31","36","51","51","1400000US33011021000","Census Tract 210, Hillsborough County, New Hampshire"
"3728","162","7","7","0","11","0","11","0","11","0","11","3","5","0","11","3","4","2","4","0","11","21","15","48","29","91","35","42","22","36","19","967","141","183","46","196","41","504","104","360","73","802","84","361","67","73","24","29","16","1400000US33011021500","Census Tract 215, Hillsborough County, New Hampshire"
"1399","117","3","5","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","11","17","12","20","22","22","17","20","23","16","20","12","416","81","66","27","114","44","209","62","122","36","203","51","145","46","7","8","9","8","1400000US33011022000","Census Tract 220, Hillsborough County, New Hampshire"
"4760","235","14","18","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","49","61","14","23","32","35","29","29","102","78","1285","221","165","98","350","104","771","221","450","146","946","180","443","112","49","30","61","59","1400000US33011022500","Census Tract 225, Hillsborough County, New Hampshire"
"5238","184","0","16","0","16","56","84","0","16","0","16","0","16","0","16","58","87","18","29","0","16","12","26","5","11","26","43","125","110","50","51","831","201","57","52","86","65","872","231","369","137","1455","266","786","201","203","141","229","105","1400000US33011023000","Census Tract 230, Hillsborough County, New Hampshire"
"1391","97","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","3","5","10","15","0","11","9","7","4","5","3","5","254","56","24","13","78","27","110","32","107","28","376","63","295","51","59","23","59","21","1400000US33011024000","Census Tract 240, Hillsborough County, New Hampshire"
"1921","131","18","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","3","7","0","11","12","12","77","51","17","14","25","24","7","11","517","101","96","53","114","45","205","70","287","85","342","71","148","50","35","21","18","16","1400000US33011025000","Census Tract 250, Hillsborough County, New Hampshire"
"4481","300","3","14","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","29","27","147","133","6","20","93","75","68","53","1270","353","183","106","289","117","662","167","523","165","881","244","272","156","50","46","5","6","1400000US33011025500","Census Tract 255, Hillsborough County, New Hampshire"
"3390","167","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","21","24","26","20","22","36","37","80","53","910","160","90","45","145","61","382","122","336","118","908","148","398","124","19","21","29","30","1400000US33011200100","Census Tract 2001, Hillsborough County, New Hampshire"
"3103","186","42","54","5","10","0","11","0","11","0","11","0","11","0","11","11","17","7","14","8","13","27","24","15","17","57","36","0","11","59","46","1052","187","161","75","200","74","427","154","178","73","370","110","461","121","23","26","0","11","1400000US33011200200","Census Tract 2002, Hillsborough County, New Hampshire"
"3204","181","29","30","0","11","0","11","0","11","0","11","0","11","0","11","17","26","22","26","0","11","29","33","75","114","14","16","0","11","27","26","913","187","115","69","184","72","288","84","275","103","861","153","301","89","54","45","0","11","1400000US33011200300","Census Tract 2003, Hillsborough County, New Hampshire"
"2343","303","11","14","0","11","0","11","65","92","0","11","0","11","0","11","0","11","51","66","36","58","19","22","54","65","34","34","107","97","21","17","333","110","36","29","127","81","277","103","132","85","666","185","226","101","118","53","30","30","1400000US33011200400","Census Tract 2004, Hillsborough County, New Hampshire"
"0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","1400000US33011980101","Census Tract 9801.01, Hillsborough County, New Hampshire"
"2806","179","29","42","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","18","28","2","4","14","16","15","15","18","20","39","28","666","142","116","64","112","58","543","159","385","109","547","130","266","93","17","20","19","22","1400000US33013003001","Census Tract 30.01, Merrimack County, New Hampshire"
"2430","159","38","34","0","11","0","11","0","11","14","20","0","11","0","11","0","11","0","11","6","10","11","13","0","11","43","52","67","64","41","36","558","118","70","46","165","70","352","157","195","77","509","148","305","114","34","34","22","26","1400000US33013003006","Census Tract 30.06, Merrimack County, New Hampshire"
"3103","178","12","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","42","39","118","87","151","89","56","55","97","62","923","174","191","68","248","87","386","127","382","132","382","128","115","54","0","11","0","11","1400000US33013003100","Census Tract 31, Merrimack County, New Hampshire"
"5171","258","50","61","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","100","105","15","24","55","52","38","38","108","61","1490","266","101","77","399","155","835","243","552","143","915","224","398","132","14","23","101","69","1400000US33013003200","Census Tract 32, Merrimack County, New Hampshire"
"1905","74","9","9","5","8","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","8","8","4","5","11","11","15","12","4","6","426","85","88","31","105","38","240","60","263","62","366","63","272","68","86","47","3","5","1400000US33013030000","Census Tract 300, Merrimack County, New Hampshire"
"2627","128","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","15","7","11","8","13","12","16","30","27","296","69","103","58","148","58","303","95","325","107","821","118","385","107","147","63","29","24","1400000US33013031001","Census Tract 310.01, Merrimack County, New Hampshire"
"2675","132","9","14","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","19","27","0","11","0","11","20","22","13","16","490","100","37","29","91","55","164","66","275","102","902","148","489","105","114","70","52","36","1400000US33013031002","Census Tract 310.02, Merrimack County, New Hampshire"
"2830","186","30","45","0","11","0","11","0","11","0","11","0","11","9","20","0","11","5","11","0","11","6","12","3","6","32","47","6","12","0","11","425","103","38","38","120","49","351","100","345","83","806","140","490","146","127","78","37","36","1400000US33013032100","Census Tract 321, Merrimack County, New Hampshire"
"1853","168","32","45","0","11","0","11","0","11","0","11","0","11","32","44","0","11","10","17","0","11","36","39","0","11","0","11","30","26","26","24","437","141","139","60","95","62","225","78","112","50","460","109","205","86","0","11","14","18","1400000US33013032200","Census Tract 322, Merrimack County, New Hampshire"
