"GEO_ID","id"
"NAME","Geographic Area Name"
"B14007_001E","Estimate!!Total:"
"B14007_001M","Margin of Error!!Total:"
"B14007_002E","Estimate!!Total:!!Enrolled in school:"
"B14007_002M","Margin of Error!!Total:!!Enrolled in school:"
"B14007_003E","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool"
"B14007_003M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool"
"B14007_004E","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten"
"B14007_004M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten"
"B14007_005E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1"
"B14007_005M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1"
"B14007_006E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2"
"B14007_006M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2"
"B14007_007E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3"
"B14007_007M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3"
"B14007_008E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4"
"B14007_008M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4"
"B14007_009E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5"
"B14007_009M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5"
"B14007_010E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6"
"B14007_010M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6"
"B14007_011E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7"
"B14007_011M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7"
"B14007_012E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8"
"B14007_012M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8"
"B14007_013E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9"
"B14007_013M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9"
"B14007_014E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10"
"B14007_014M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10"
"B14007_015E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11"
"B14007_015M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11"
"B14007_016E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12"
"B14007_016M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12"
"B14007_017E","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years"
"B14007_017M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years"
"B14007_018E","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school"
"B14007_018M","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school"
"B14007_019E","Estimate!!Total:!!Not enrolled in school"
"B14007_019M","Margin of Error!!Total:!!Not enrolled in school"
