"B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school","id","Geographic Area Name"
"1952","187","326","109","26","16","10","13","10","11","16","15","32","21","27","18","13","11","9","9","19","17","11","11","3","4","8","7","13","13","44","62","75","41","10","9","1626","147","1400000US33007951000","Census Tract 9510, Coos County, New Hampshire"
"3053","191","580","123","30","28","22","17","2","4","20","19","9","14","48","37","44","47","41","25","53","27","12","12","55","29","51","27","3","5","20","19","113","57","57","44","2473","148","1400000US33007951100","Census Tract 9511, Coos County, New Hampshire"
"5696","125","876","442","89","97","62","57","47","57","25","43","26","42","79","83","16","26","95","102","19","34","106","103","0","16","0","16","63","59","0","16","197","151","52","51","4820","386","1400000US33009960100","Census Tract 9601, Grafton County, New Hampshire"
"4237","244","689","118","24","13","32","17","5","7","31","24","28","17","20","19","36","27","74","32","30","29","45","20","34","21","22","15","62","30","41","32","172","79","33","21","3548","202","1400000US33009960200","Census Tract 9602, Grafton County, New Hampshire"
"4973","255","935","117","86","30","71","27","54","27","56","25","28","18","58","27","40","24","53","32","41","19","52","21","38","16","81","34","67","32","50","22","102","49","58","46","4038","220","1400000US33009960300","Census Tract 9603, Grafton County, New Hampshire"
"3576","210","670","127","30","32","59","50","59","53","10","12","21","21","41","32","27","22","26","24","42","35","6","9","44","28","43","29","33","25","54","37","143","56","32","29","2906","206","1400000US33009960400","Census Tract 9604, Grafton County, New Hampshire"
"2411","276","374","125","11","10","30","27","8","7","31","40","11","15","26","14","29","27","15","11","38","25","8","6","13","9","16","10","13","9","16","11","77","39","32","31","2037","219","1400000US33009960500","Census Tract 9605, Grafton County, New Hampshire"
"4484","73","959","129","107","90","21","31","66","58","24","36","85","74","50","47","26","33","20","31","41","41","62","57","34","36","39","37","109","70","61","54","126","82","88","86","3525","153","1400000US33009960600","Census Tract 9606, Grafton County, New Hampshire"
"3139","348","588","117","45","19","24","16","14","9","43","21","16","15","26","15","18","11","20","15","40","25","16","10","31","13","26","13","34","20","31","23","141","62","63","29","2551","323","1400000US33009960700","Census Tract 9607, Grafton County, New Hampshire"
"4782","274","920","338","8","11","29","32","18","18","22","18","13","14","41","34","0","11","90","59","16","15","48","42","42","45","74","47","47","42","97","91","293","226","82","72","3862","379","1400000US33009960800","Census Tract 9608, Grafton County, New Hampshire"
"3178","214","648","87","67","29","32","20","46","25","20","16","39","19","27","17","40","18","54","21","33","16","28","13","37","24","36","18","31","24","45","24","76","29","37","23","2530","186","1400000US33009960900","Census Tract 9609, Grafton County, New Hampshire"
"6717","55","2510","293","14","27","0","16","98","102","76","67","183","142","105","88","34","53","89","82","110","91","0","16","31","49","21","34","51","61","136","112","1461","216","101","92","4207","284","1400000US33009961000","Census Tract 9610, Grafton County, New Hampshire"
"4065","335","913","194","0","11","41","30","49","24","70","47","19","16","52","35","36","30","87","58","47","32","31","30","77","51","46","27","53","41","42","33","210","109","53","35","3152","269","1400000US33009961100","Census Tract 9611, Grafton County, New Hampshire"
"4176","242","717","175","46","39","55","53","24","24","68","43","62","56","30","21","15","22","45","43","48","42","35","31","36","27","37","23","10","14","19","20","152","80","35","37","3459","214","1400000US33009961200","Census Tract 9612, Grafton County, New Hampshire"
"3503","235","598","68","31","23","20","21","42","21","22","14","28","17","25","14","11","10","36","14","45","20","14","11","63","26","24","15","59","30","51","26","93","39","34","25","2905","218","1400000US33009961300","Census Tract 9613, Grafton County, New Hampshire"
"3859","67","800","151","32","30","0","11","11","17","51","41","36","28","102","104","37","33","85","68","39","39","64","57","47","43","41","37","42","46","28","30","170","112","15","20","3059","164","1400000US33009961400","Census Tract 9614, Grafton County, New Hampshire"
"4407","95","576","258","46","55","10","19","36","37","55","60","15","24","50","47","76","79","0","11","114","85","19","30","0","11","0","11","30","39","7","14","59","55","59","48","3831","205","1400000US33009961500","Census Tract 9615, Grafton County, New Hampshire"
"2916","364","768","142","31","30","58","44","33","26","32","34","91","62","75","45","43","32","30","27","55","47","21","22","48","29","43","33","17","20","30","35","51","48","110","123","2148","268","1400000US33009961601","Census Tract 9616.01, Grafton County, New Hampshire"
"8420","376","5275","424","41","36","69","49","36","35","36","37","40","40","22","30","43","38","31","29","71","52","130","103","7","15","121","96","64","46","40","38","3934","374","590","259","3145","370","1400000US33009961602","Census Tract 9616.02, Grafton County, New Hampshire"
"7484","401","1529","323","160","98","106","62","45","49","91","73","43","46","21","24","59","74","126","83","22","35","37","36","57","44","25","29","56","44","28","42","162","105","491","172","5955","475","1400000US33009961700","Census Tract 9617, Grafton County, New Hampshire"
"5616","371","1163","320","80","56","58","66","14","24","48","42","50","59","80","70","16","25","64","38","21","29","16","25","42","43","40","35","60","54","129","89","265","169","180","123","4453","360","1400000US33009961800","Census Tract 9618, Grafton County, New Hampshire"
"2894","220","704","217","15","18","7","12","40","29","63","44","34","28","75","66","23","22","39","36","92","71","25","27","77","64","34","40","24","30","46","45","90","68","20","23","2190","156","1400000US33011000101","Census Tract 1.01, Hillsborough County, New Hampshire"
"5030","332","1864","308","63","54","29","28","43","31","46","46","28","25","22","25","69","58","21","34","70","50","35","42","14","22","24","38","26","30","42","46","894","189","438","208","3166","202","1400000US33011000102","Census Tract 1.02, Hillsborough County, New Hampshire"
"2365","188","629","140","95","51","48","43","48","35","0","11","46","37","16","22","47","41","32","32","9","16","53","43","28","27","35","31","26","25","47","39","64","43","35","25","1736","178","1400000US33011000202","Census Tract 2.02, Hillsborough County, New Hampshire"
"3273","314","476","138","0","11","42","39","0","11","59","60","0","11","10","16","18","19","29","36","0","11","10","16","20","23","0","11","9","15","0","11","194","91","85","55","2797","248","1400000US33011000203","Census Tract 2.03, Hillsborough County, New Hampshire"
"5100","443","863","213","81","55","68","62","13","21","51","47","114","82","17","27","0","16","0","16","22","34","17","29","17","27","0","16","60","75","0","16","251","112","152","116","4237","434","1400000US33011000204","Census Tract 2.04, Hillsborough County, New Hampshire"
"2876","263","506","180","62","76","0","11","0","11","64","65","8","16","55","61","7","11","19","29","50","61","0","11","27","25","54","51","0","11","30","30","85","64","45","36","2370","272","1400000US33011000300","Census Tract 3, Hillsborough County, New Hampshire"
"2156","240","260","95","10","13","7","11","5","9","43","41","4","7","11","16","0","11","36","43","7","10","4","9","4","9","9","18","9","9","0","11","26","29","85","55","1896","239","1400000US33011000600","Census Tract 6, Hillsborough County, New Hampshire"
"2815","191","590","186","18","29","15","23","15","17","25","36","42","37","8","13","31","30","7","12","18","20","12","20","17","20","53","54","47","38","7","9","169","129","106","99","2225","181","1400000US33011000700","Census Tract 7, Hillsborough County, New Hampshire"
"2169","208","472","111","30","30","17","20","8","12","30","22","17","17","30","32","34","27","14","13","5","10","18","27","15","15","0","11","65","52","15","16","93","48","81","54","1697","172","1400000US33011000800","Census Tract 8, Hillsborough County, New Hampshire"
"3342","245","773","168","10","17","84","57","0","11","59","53","11","18","3","7","80","50","13","20","69","60","16","22","45","39","38","58","38","47","71","58","127","80","109","68","2569","245","1400000US33011000901","Census Tract 9.01, Hillsborough County, New Hampshire"
